Time,cumulative_mean_fraction_lambda_C
0,0
0.25,0
0.5,0
0.75,0.0468053
1,0.0781377
1.25,0.0882219
1.5,0.100759
1.75,0.0932734
2,0.0905486
2.25,0.0936089
2.5,0.0970362
2.75,0.0908454
3,0.10925
3.25,0.108437
3.5,0.109934
3.75,0.114503
4,0.116879
4.25,0.117101
4.5,0.116755
4.75,0.120866
5,0.119585
5.25,0.120767
5.5,0.121617
5.75,0.123123
6,0.126339
6.25,0.128711
6.5,0.128276
6.75,0.13092
7,0.136226
7.25,0.13555
7.5,0.134842
7.75,0.136549
8,0.13948
8.25,0.140462
8.5,0.140504
8.75,0.14017
9,0.139562
9.25,0.141592
9.5,0.140584
9.75,0.140109
10,0.139518
10.25,0.138306
10.5,0.137966
10.75,0.137447
11,0.13671
11.25,0.13648
11.5,0.136246
11.75,0.136167
12,0.136241
12.25,0.136559
12.5,0.138223
12.75,0.137762
13,0.137054
13.25,0.137179
13.5,0.138334
13.75,0.13868
14,0.138905
14.25,0.139567
14.5,0.139704
14.75,0.14156
15,0.142019
15.25,0.143352
15.5,0.144668
15.75,0.145904
16,0.14644
16.25,0.146976
16.5,0.147403
16.75,0.148373
17,0.149336
17.25,0.149712
17.5,0.150536
17.75,0.150963
18,0.151378
18.25,0.152185
18.5,0.153458
18.75,0.153973
19,0.155168
19.25,0.155756
19.5,0.156436
19.75,0.157311
20,0.158319
20.25,0.15857
20.5,0.158954
20.75,0.159324
21,0.160084
21.25,0.160827
21.5,0.161447
21.75,0.161775
22,0.162061
22.25,0.162656
22.5,0.163348
22.75,0.16388
23,0.164274
23.25,0.165008
23.5,0.165161
23.75,0.165491
24,0.165828
24.25,0.1661
24.5,0.16625
24.75,0.166672
25,0.167325
25.25,0.16809
25.5,0.168437
25.75,0.168645
26,0.16905
26.25,0.169327
26.5,0.169539
26.75,0.16995
27,0.17029
27.25,0.170969
27.5,0.170979
27.75,0.171058
28,0.171493
28.25,0.171734
28.5,0.171835
28.75,0.172242
29,0.172396
29.25,0.172489
29.5,0.17275
29.75,0.173021
30,0.173171
30.25,0.173432
30.5,0.173588
30.75,0.173874
31,0.174302
31.25,0.174417
31.5,0.174751
31.75,0.175006
32,0.175204
32.25,0.175374
32.5,0.1757
32.75,0.175831
33,0.176074
33.25,0.176278
33.5,0.176504
33.75,0.176664
34,0.17684
34.25,0.176792
34.5,0.176879
34.75,0.177029
35,0.177247
35.25,0.177367
35.5,0.177603
35.75,0.17759
36,0.177708
36.25,0.177774
36.5,0.177927
36.75,0.17807
37,0.178179
37.25,0.178274
37.5,0.17836
37.75,0.17842
38,0.178498
38.25,0.178567
38.5,0.178672
38.75,0.178856
39,0.179029
39.25,0.179117
39.5,0.179225
39.75,0.179287
40,0.179421
40.25,0.179642
40.5,0.179805
40.75,0.179912
41,0.180073
41.25,0.180194
41.5,0.18036
41.75,0.180506
42,0.180701
42.25,0.180851
42.5,0.181002
42.75,0.181148
43,0.18131
43.25,0.181505
43.5,0.181713
43.75,0.181911
44,0.1821
44.25,0.182284
44.5,0.182478
44.75,0.182646
45,0.182909
45.25,0.183111
45.5,0.183346
45.75,0.183533
46,0.183743
46.25,0.184009
46.5,0.184266
46.75,0.184509
47,0.184758
47.25,0.18499
47.5,0.185248
47.75,0.185461
48,0.185707
48.25,0.185939
48.5,0.186164
48.75,0.186444
49,0.186757
49.25,0.187027
49.5,0.187293
49.75,0.187552
50,0.187822
50.25,0.188085
50.5,0.188338
50.75,0.188614
51,0.188898
51.25,0.189183
51.5,0.189451
51.75,0.189747
52,0.19006
52.25,0.190338
52.5,0.190622
52.75,0.190898
53,0.19117
53.25,0.191453
53.5,0.19172
53.75,0.192006
54,0.192287
54.25,0.192579
54.5,0.192862
54.75,0.19315
55,0.193429
55.25,0.193719
55.5,0.194021
55.75,0.194291
56,0.194574
56.25,0.194865
56.5,0.195152
56.75,0.195421
57,0.195704
57.25,0.195975
57.5,0.196247
57.75,0.196515
58,0.196785
58.25,0.197059
58.5,0.197308
58.75,0.197567
59,0.197848
59.25,0.198125
59.5,0.198396
59.75,0.198644
60,0.198894
60.25,0.199135
60.5,0.19939
60.75,0.199629
