Time,cumulative_mean_fraction_lambda_H
0,0
0.25,0
0.5,0
0.75,0.604647
1,0.547006
1.25,0.495143
1.5,0.454834
1.75,0.423606
2,0.409319
2.25,0.38771
2.5,0.376427
2.75,0.358144
3,0.334269
3.25,0.323883
3.5,0.317928
3.75,0.305902
4,0.294504
4.25,0.282906
4.5,0.275293
4.75,0.269647
5,0.266479
5.25,0.262848
5.5,0.258917
5.75,0.254994
6,0.251339
6.25,0.244957
6.5,0.240003
6.75,0.238386
7,0.232641
7.25,0.227729
7.5,0.230623
7.75,0.227424
8,0.223458
8.25,0.223638
8.5,0.221975
8.75,0.221231
9,0.218777
9.25,0.217358
9.5,0.216434
9.75,0.215741
10,0.214884
10.25,0.215683
10.5,0.214126
10.75,0.212623
11,0.211515
11.25,0.21141
11.5,0.210143
11.75,0.209995
12,0.209222
12.25,0.209294
12.5,0.209019
12.75,0.209001
13,0.210493
13.25,0.211535
13.5,0.211213
13.75,0.212974
14,0.213738
14.25,0.212453
14.5,0.212617
14.75,0.212732
15,0.214286
15.25,0.213805
15.5,0.214694
15.75,0.214888
16,0.215751
16.25,0.21655
16.5,0.217621
16.75,0.217433
17,0.217145
17.25,0.217447
17.5,0.217413
17.75,0.216593
18,0.216161
18.25,0.215539
18.5,0.215373
18.75,0.215172
19,0.214915
19.25,0.214546
19.5,0.214313
19.75,0.21404
20,0.213579
20.25,0.21414
20.5,0.213771
20.75,0.213885
21,0.21456
21.25,0.214685
21.5,0.214886
21.75,0.215302
22,0.215076
22.25,0.215347
22.5,0.21561
22.75,0.21525
23,0.215863
23.25,0.215527
23.5,0.215601
23.75,0.215483
24,0.215682
24.25,0.215725
24.5,0.21572
24.75,0.215639
25,0.215875
25.25,0.215973
25.5,0.216038
25.75,0.216713
26,0.217326
26.25,0.217564
26.5,0.217232
26.75,0.217206
27,0.217357
27.25,0.21723
27.5,0.217469
27.75,0.217447
28,0.217241
28.25,0.217286
28.5,0.216928
28.75,0.216854
29,0.216612
29.25,0.21654
29.5,0.216524
29.75,0.216359
30,0.216529
30.25,0.216504
30.5,0.216476
30.75,0.216204
31,0.216084
31.25,0.216201
31.5,0.216007
31.75,0.216064
32,0.216017
32.25,0.215974
32.5,0.215781
32.75,0.215679
33,0.215544
33.25,0.215404
33.5,0.215415
33.75,0.215322
34,0.215198
34.25,0.215232
34.5,0.215165
34.75,0.215096
35,0.214943
35.25,0.214988
35.5,0.214957
35.75,0.215038
36,0.215161
36.25,0.215217
36.5,0.215248
36.75,0.215265
37,0.215289
37.25,0.215477
37.5,0.21555
37.75,0.21576
38,0.215879
38.25,0.215992
38.5,0.216236
38.75,0.216437
39,0.216575
39.25,0.216784
39.5,0.217052
39.75,0.217263
40,0.217518
40.25,0.217793
40.5,0.218112
40.75,0.218411
41,0.218686
41.25,0.218954
41.5,0.219263
41.75,0.21959
42,0.219893
42.25,0.220211
42.5,0.220461
42.75,0.220899
43,0.22131
43.25,0.221683
43.5,0.221967
43.75,0.222441
44,0.222858
44.25,0.2233
44.5,0.223705
44.75,0.224116
45,0.224521
45.25,0.224924
45.5,0.225319
45.75,0.225742
46,0.226248
46.25,0.226643
46.5,0.227083
46.75,0.227579
47,0.228064
47.25,0.228572
47.5,0.229081
47.75,0.229646
48,0.230192
48.25,0.230683
48.5,0.231202
48.75,0.231741
49,0.232261
49.25,0.232823
49.5,0.233391
49.75,0.234007
50,0.234569
50.25,0.235153
50.5,0.235701
50.75,0.236275
51,0.236865
51.25,0.237463
51.5,0.238041
51.75,0.238657
52,0.239271
52.25,0.239856
52.5,0.240427
52.75,0.241029
53,0.241617
53.25,0.242225
53.5,0.242795
53.75,0.243382
54,0.243994
54.25,0.244542
54.5,0.24514
54.75,0.245671
55,0.246264
55.25,0.246832
55.5,0.247364
55.75,0.247925
56,0.248465
56.25,0.249012
56.5,0.249527
56.75,0.250052
57,0.250567
57.25,0.251098
57.5,0.251614
57.75,0.252108
58,0.252609
58.25,0.25308
58.5,0.253556
58.75,0.254024
59,0.25448
59.25,0.254918
59.5,0.255367
59.75,0.255808
60,0.256217
60.25,0.256627
60.5,0.257031
60.75,0.257409
61,0.257793
