Time,cumulative_mean_fraction_lambda_W
0,0
0.25,0
0.5,0
0.75,0.348548
1,0.374856
1.25,0.416635
1.5,0.444406
1.75,0.48312
2,0.500132
2.25,0.518682
2.5,0.526537
2.75,0.551011
3,0.556481
3.25,0.56768
3.5,0.572138
3.75,0.579595
4,0.588618
4.25,0.599993
4.5,0.607953
4.75,0.609487
5,0.613936
5.25,0.616385
5.5,0.619466
5.75,0.621883
6,0.622321
6.25,0.626332
6.5,0.631721
6.75,0.630694
7,0.631133
7.25,0.636721
7.5,0.634535
7.75,0.636028
8,0.637062
8.25,0.6359
8.5,0.637521
8.75,0.638599
9,0.641661
9.25,0.641049
9.5,0.642983
9.75,0.64415
10,0.645598
10.25,0.646011
10.5,0.647908
10.75,0.64993
11,0.651775
11.25,0.65211
11.5,0.653611
11.75,0.653838
12,0.654537
12.25,0.654148
12.5,0.652758
12.75,0.653236
13,0.652453
13.25,0.651287
13.5,0.650453
13.75,0.648347
14,0.647357
14.25,0.64798
14.5,0.647679
14.75,0.645709
15,0.643695
15.25,0.642843
15.5,0.640638
15.75,0.639209
16,0.637809
16.25,0.636474
16.5,0.634977
16.75,0.634194
17,0.633519
17.25,0.632841
17.5,0.632051
17.75,0.632444
18,0.632461
18.25,0.632276
18.5,0.631169
18.75,0.630855
19,0.629917
19.25,0.629699
19.5,0.629251
19.75,0.628648
20,0.628101
20.25,0.62729
20.5,0.627275
20.75,0.626791
21,0.625356
21.25,0.624488
21.5,0.623668
21.75,0.622923
22,0.622862
22.25,0.621997
22.5,0.621042
22.75,0.62087
23,0.619864
23.25,0.619464
23.5,0.619238
23.75,0.619026
24,0.61849
24.25,0.618175
24.5,0.61803
24.75,0.617689
25,0.616801
25.25,0.615937
25.5,0.615526
25.75,0.614642
26,0.613624
26.25,0.613109
26.5,0.613229
26.75,0.612844
27,0.612353
27.25,0.611801
27.5,0.611552
27.75,0.611495
28,0.611266
28.25,0.61098
28.5,0.611236
28.75,0.610904
29,0.610992
29.25,0.610971
29.5,0.610726
29.75,0.61062
30,0.6103
30.25,0.610064
30.5,0.609936
30.75,0.609922
31,0.609613
31.25,0.609382
31.5,0.609242
31.75,0.608929
32,0.608779
32.25,0.608653
32.5,0.608518
32.75,0.608489
33,0.608381
33.25,0.608318
33.5,0.608081
33.75,0.608015
34,0.607962
34.25,0.607976
34.5,0.607956
34.75,0.607875
35,0.607809
35.25,0.607645
35.5,0.60744
35.75,0.607371
36,0.607132
36.25,0.607008
36.5,0.606825
36.75,0.606665
37,0.606531
37.25,0.606249
37.5,0.606091
37.75,0.605819
38,0.605622
38.25,0.605441
38.5,0.605092
38.75,0.604706
39,0.604396
39.25,0.604099
39.5,0.603724
39.75,0.60345
40,0.603062
40.25,0.602565
40.5,0.602084
40.75,0.601677
41,0.601241
41.25,0.600852
41.5,0.600377
41.75,0.599903
42,0.599406
42.25,0.598939
42.5,0.598536
42.75,0.597952
43,0.59738
43.25,0.596812
43.5,0.59632
43.75,0.595649
44,0.595042
44.25,0.594417
44.5,0.593817
44.75,0.593238
45,0.59257
45.25,0.591965
45.5,0.591335
45.75,0.590725
46,0.59001
46.25,0.589348
46.5,0.588651
46.75,0.587912
47,0.587178
47.25,0.586439
47.5,0.585672
47.75,0.584893
48,0.584101
48.25,0.583378
48.5,0.582633
48.75,0.581816
49,0.580982
49.25,0.58015
49.5,0.579316
49.75,0.578441
50,0.577609
50.25,0.576762
50.5,0.575961
50.75,0.575111
51,0.574237
51.25,0.573354
51.5,0.572509
51.75,0.571596
52,0.570669
52.25,0.569807
52.5,0.568951
52.75,0.568073
53,0.567212
53.25,0.566322
53.5,0.565485
53.75,0.564613
54,0.563719
54.25,0.562879
54.5,0.561998
54.75,0.561179
55,0.560307
55.25,0.559449
55.5,0.558614
55.75,0.557784
56,0.556962
56.25,0.556123
56.5,0.555321
56.75,0.554528
57,0.553729
57.25,0.552927
57.5,0.552139
57.75,0.551377
58,0.550606
58.25,0.549861
58.5,0.549136
58.75,0.548409
59,0.547671
59.25,0.546957
59.5,0.546237
59.75,0.545548
60,0.544889
60.25,0.544237
60.5,0.54358
60.75,0.542962
61,0.542338
