Time,normal_interactions,curtailed_interactions
0,2.14717e+07,2.14717e+07
0.25,2.14715e+07,2.14715e+07
0.5,2.14713e+07,2.14713e+07
0.75,2.14712e+07,2.14712e+07
1,2.14711e+07,2.14711e+07
1.25,2.1471e+07,2.1471e+07
1.5,2.14709e+07,2.14709e+07
1.75,2.14708e+07,2.14708e+07
2,2.14708e+07,2.14708e+07
2.25,2.14708e+07,2.14708e+07
2.5,2.14707e+07,2.14707e+07
2.75,2.14707e+07,2.14707e+07
3,2.14706e+07,2.14706e+07
3.25,2.14706e+07,2.14706e+07
3.5,2.14705e+07,2.14705e+07
3.75,2.14705e+07,2.14705e+07
4,2.14704e+07,2.14704e+07
4.25,2.14703e+07,2.14703e+07
4.5,2.14702e+07,2.14702e+07
4.75,2.14701e+07,2.14701e+07
5,2.14701e+07,2.14701e+07
5.25,2.147e+07,2.147e+07
5.5,2.14699e+07,2.14699e+07
5.75,2.14698e+07,2.14698e+07
6,2.14697e+07,2.14697e+07
6.25,2.14696e+07,2.14696e+07
6.5,2.14696e+07,2.14696e+07
6.75,2.14694e+07,2.14694e+07
7,2.14693e+07,2.14693e+07
7.25,2.14691e+07,2.14691e+07
7.5,2.1469e+07,2.1469e+07
7.75,2.14688e+07,2.14688e+07
8,2.14687e+07,2.14687e+07
8.25,2.14684e+07,2.14684e+07
8.5,2.14683e+07,2.14683e+07
8.75,2.14681e+07,2.14681e+07
9,2.14679e+07,2.14679e+07
9.25,2.14677e+07,2.14677e+07
9.5,2.14675e+07,2.14675e+07
9.75,2.14671e+07,2.14671e+07
10,2.14669e+07,2.14669e+07
10.25,2.14666e+07,2.14666e+07
10.5,2.14664e+07,2.14664e+07
10.75,2.14661e+07,2.14661e+07
11,2.14658e+07,2.14658e+07
11.25,2.14654e+07,2.14654e+07
11.5,2.14652e+07,2.14652e+07
11.75,2.14648e+07,2.14648e+07
12,2.14645e+07,2.14645e+07
12.25,2.14642e+07,2.14642e+07
12.5,2.14637e+07,2.14637e+07
12.75,2.14634e+07,2.14634e+07
13,2.1463e+07,2.1463e+07
13.25,2.14627e+07,2.14627e+07
13.5,2.14622e+07,2.14622e+07
13.75,2.14619e+07,2.14619e+07
14,2.14615e+07,2.14615e+07
14.25,2.14609e+07,2.14609e+07
14.5,2.14604e+07,2.14604e+07
14.75,2.14598e+07,2.14598e+07
15,2.14591e+07,2.14591e+07
15.25,2.14585e+07,2.14585e+07
15.5,2.14579e+07,2.14579e+07
15.75,2.14573e+07,2.14573e+07
16,2.14567e+07,2.14567e+07
16.25,2.14559e+07,2.14559e+07
16.5,2.14552e+07,2.14552e+07
16.75,2.14545e+07,2.14545e+07
17,2.14538e+07,2.14538e+07
17.25,2.1453e+07,2.1453e+07
17.5,2.14521e+07,2.14521e+07
17.75,2.14513e+07,2.14513e+07
18,2.14503e+07,2.14503e+07
18.25,2.14494e+07,2.14494e+07
18.5,2.14483e+07,2.14483e+07
18.75,2.14471e+07,2.14471e+07
19,2.14461e+07,2.14461e+07
19.25,2.14451e+07,2.14451e+07
19.5,2.14441e+07,2.14441e+07
19.75,2.14426e+07,2.14426e+07
20,2.14414e+07,2.14414e+07
20.25,2.14401e+07,2.14401e+07
20.5,2.14386e+07,2.14386e+07
20.75,2.14372e+07,2.14372e+07
21,2.14356e+07,2.14356e+07
21.25,2.14343e+07,2.14343e+07
21.5,2.14324e+07,2.14324e+07
21.75,2.14306e+07,2.14306e+07
22,2.14288e+07,2.14288e+07
22.25,2.14269e+07,2.14269e+07
22.5,2.14252e+07,2.14252e+07
22.75,2.1423e+07,2.1423e+07
23,2.14207e+07,2.14207e+07
23.25,2.14182e+07,2.14182e+07
23.5,2.14158e+07,2.14158e+07
23.75,2.14134e+07,2.14134e+07
24,2.14108e+07,2.14108e+07
24.25,2.14082e+07,2.14082e+07
24.5,2.14053e+07,2.14053e+07
24.75,2.14023e+07,2.14023e+07
25,2.13993e+07,2.13993e+07
25.25,2.13961e+07,2.13961e+07
25.5,2.13927e+07,2.13927e+07
25.75,2.13893e+07,2.13893e+07
26,2.13859e+07,2.13859e+07
26.25,2.13824e+07,2.13824e+07
26.5,2.13786e+07,2.13786e+07
26.75,2.13743e+07,2.13743e+07
27,2.13696e+07,2.13696e+07
27.25,2.1365e+07,2.1365e+07
27.5,2.13605e+07,2.13605e+07
27.75,2.13556e+07,2.13556e+07
28,2.13507e+07,2.13507e+07
28.25,2.13457e+07,2.13457e+07
28.5,2.13406e+07,2.13406e+07
28.75,2.1335e+07,2.1335e+07
29,2.13288e+07,2.13288e+07
29.25,2.13225e+07,2.13225e+07
29.5,2.1316e+07,2.1316e+07
29.75,2.13091e+07,2.13091e+07
30,2.13021e+07,2.13021e+07
30.25,2.12947e+07,2.12947e+07
30.5,2.12868e+07,2.12868e+07
30.75,2.12792e+07,2.12792e+07
31,2.1271e+07,2.1271e+07
31.25,2.12628e+07,2.12628e+07
31.5,2.1254e+07,2.1254e+07
31.75,2.12447e+07,2.12447e+07
32,2.12345e+07,2.12345e+07
32.25,2.12248e+07,2.12248e+07
32.5,2.12138e+07,2.12138e+07
32.75,2.12032e+07,2.12032e+07
33,2.11923e+07,2.11923e+07
33.25,2.11798e+07,2.11798e+07
33.5,2.1167e+07,2.1167e+07
33.75,2.11541e+07,2.11541e+07
34,2.1141e+07,2.1141e+07
34.25,2.11277e+07,2.11277e+07
34.5,2.11132e+07,2.11132e+07
34.75,2.10976e+07,2.10976e+07
35,2.10818e+07,2.10818e+07
35.25,2.1065e+07,2.1065e+07
35.5,2.10483e+07,2.10483e+07
35.75,2.10303e+07,2.10303e+07
36,2.10131e+07,2.10131e+07
36.25,2.0994e+07,2.0994e+07
36.5,2.09747e+07,2.09747e+07
36.75,2.09536e+07,2.09536e+07
37,2.09321e+07,2.09321e+07
37.25,2.09106e+07,2.09106e+07
37.5,2.08885e+07,2.08885e+07
37.75,2.08648e+07,2.08648e+07
38,2.08411e+07,2.08411e+07
38.25,2.08169e+07,2.08169e+07
38.5,2.07912e+07,2.07912e+07
38.75,2.07646e+07,2.07646e+07
39,2.07368e+07,2.07368e+07
39.25,2.07083e+07,2.07083e+07
39.5,2.06787e+07,2.06787e+07
39.75,2.06479e+07,2.06479e+07
40,2.06186e+07,2.06186e+07
40.25,2.0586e+07,2.0586e+07
40.5,2.05536e+07,2.05536e+07
40.75,2.05205e+07,2.05205e+07
