Time,infections_by_new_infectives
0,0
0.25,2290.76
0.5,1940.39
0.75,1696.88
1,1313.67
1.25,1566.14
1.5,1419.05
1.75,1209.19
2,935.652
2.25,1376.97
2.5,1144.47
2.75,1158.01
3,611.714
3.25,831.075
3.5,1327.77
3.75,1008.8
4,1363.31
4.25,1392.63
4.5,1403.74
4.75,1689.32
5,1211.03
5.25,1262.32
5.5,1509.95
5.75,1886.56
6,1811.23
6.25,1736.11
6.5,1538.78
6.75,2340.65
7,2406.85
7.25,1925.97
7.5,2746.43
7.75,2414.34
8,2771.33
8.25,3161.29
8.5,3044.35
8.75,2800.4
9,3001.62
9.25,3508.39
9.5,3422.73
9.75,4455.7
10,3734.64
10.25,3769.44
10.5,3743.63
10.75,4335.93
11,5290.05
11.25,4902.28
11.5,5340.25
11.75,5143.48
12,6243.04
12.25,5815.69
12.5,6124.45
12.75,6118.68
13,5913.77
13.25,5759.69
13.5,7343.1
13.75,6933.73
14,8061.95
14.25,8474.3
14.5,8510.41
14.75,9260.7
15,9160.36
15.25,10188.9
15.5,9674.87
15.75,9820.73
16,10854.3
16.25,11666.1
16.5,12429.1
16.75,12569.8
17,12289.1
17.25,13064.3
17.5,14089.6
17.75,13132.5
18,15822.9
18.25,14900.2
18.5,17064.2
18.75,17952.6
19,17850.1
19.25,17341.7
19.5,18842.4
19.75,20177.7
20,21473.5
20.25,22166.4
20.5,25364.4
20.75,24738.3
21,26236
21.25,24818.3
21.5,26979.4
21.75,28929.2
22,31400
22.25,29569.9
22.5,30231.7
22.75,33829.4
23,35894.6
23.25,38262.1
23.5,37603.6
23.75,39881.4
24,42403.2
24.25,44238.1
24.5,44559.9
24.75,48501.6
25,47188.9
25.25,51882.8
25.5,54766.1
25.75,55698.3
26,56029.5
26.25,59342.9
26.5,62598.8
26.75,65316.2
27,68843.6
27.25,70343.8
27.5,72067.9
27.75,74583.3
28,79119.7
28.25,81230.9
28.5,85293.9
28.75,87576.2
29,91560.4
29.25,95527.1
29.5,100301
29.75,103919
30,107878
30.25,111285
30.5,117973
30.75,120550
31,126798
31.25,126757
31.5,132983
31.75,135774
32,146797
32.25,146664
32.5,154199
32.75,156465
33,164445
33.25,173768
33.5,174982
33.75,185478
34,186675
34.25,193255
34.5,201178
34.75,206793
35,211833
35.25,222612
35.5,227299
35.75,234872
36,234260
36.25,246489
36.5,252241
36.75,262436
37,267437
37.25,270070
37.5,279069
37.75,288608
38,292755
38.25,296738
38.5,308059
38.75,313588
39,319722
39.25,325224
39.5,327901
39.75,339741
40,342110
40.25,353412
40.5,355171
40.75,359143
41,366522
41.25,364946
41.5,370191
41.75,375540
42,378128
42.25,382354
42.5,390391
42.75,386284
43,394118
43.25,398879
43.5,398760
43.75,396584
44,400003
44.25,402195
44.5,397295
44.75,396105
45,399098
45.25,397220
45.5,397193
45.75,392036
46,392256
46.25,386465
46.5,385035
46.75,377277
47,372556
47.25,372297
47.5,366142
47.75,358897
48,355254
48.25,352587
48.5,348915
48.75,340606
49,331277
49.25,327054
49.5,322489
49.75,313317
50,307974
50.25,300088
50.5,291562
50.75,283333
51,276880
51.25,270726
51.5,264120
51.75,255069
52,248659
52.25,239631
52.5,233476
52.75,225860
53,219920
53.25,212263
53.5,206062
53.75,196128
54,192343
54.25,185422
54.5,180372
54.75,172158
55,164771
55.25,161810
55.5,154767
55.75,148826
56,143061
56.25,137625
56.5,132308
56.75,125852
57,122278
57.25,117787
57.5,112127
57.75,108326
58,103527
58.25,99188.6
58.5,95058.1
58.75,92662.2
59,88303.5
59.25,84768.1
59.5,80635.1
59.75,77149.9
60,74278.1
60.25,71925.3
60.5,67961.5
60.75,65986.7
61,62391.8
61.25,60333.1
61.5,57739.7
61.75,55256.4
62,53275.9
62.25,50201.9
62.5,47999.9
62.75,46594.1
63,44334.7
63.25,42941.2
63.5,41157.1
63.75,38953
64,37363.2
64.25,36145.8
64.5,33784.1
64.75,33253.6
65,31347.9
65.25,29609.8
65.5,29115.7
65.75,28023.2
66,26336.1
66.25,25357.8
66.5,24387.7
66.75,23810.2
67,22425.1
67.25,21362.5
67.5,20408.6
67.75,19669.5
68,19036.1
68.25,17608.2
68.5,17339
68.75,16585.3
69,16082.1
69.25,15092.6
69.5,14601.6
69.75,14212.2
70,13405.1
70.25,13110.6
70.5,12661.2
70.75,11856.1
71,11419.7
71.25,10930.4
71.5,10620.4
71.75,10546.8
72,9422.36
72.25,9394.76
72.5,8886.07
72.75,8515.47
73,8207.75
73.25,8026.16
73.5,7558.09
73.75,7425.12
74,7166.65
74.25,6805.29
74.5,6550.3
74.75,6466.88
75,6030.05
75.25,5837.04
75.5,5461.75
75.75,5350.97
76,5154.79
76.25,5091.31
76.5,4762.18
76.75,4517.22
77,4532.19
77.25,4183.18
77.5,4145.5
77.75,3906.1
78,3857.53
78.25,3696.09
78.5,3507.45
78.75,3357.46
79,3260.77
79.25,3376.01
79.5,3003.9
79.75,2795.28
80,2749.14
80.25,2705.06
80.5,2648.5
80.75,2537.72
81,2541.91
81.25,2407.12
81.5,2242.54
81.75,2221.79
82,2155.77
82.25,2110.59
82.5,2035.52
82.75,2023.64
83,1874.89
83.25,1789.45
83.5,1658.81
83.75,1708.91
84,1594.8
84.25,1554.39
84.5,1487.33
84.75,1421.07
85,1470.15
85.25,1385.55
85.5,1308.79
85.75,1228.07
86,1231.07
86.25,1205.34
86.5,1057.8
86.75,1079.68
87,1076.33
87.25,1001.83
87.5,1023.07
87.75,981.183
88,957.39
88.25,935.248
88.5,879.363
88.75,815.953
89,793.477
89.25,792.592
89.5,773.008
89.75,721.833
90,637.362
90.25,708.72
90.5,600.57
90.75,647.129
91,674.769
91.25,560.885
91.5,569.819
91.75,581.014
92,504.209
92.25,543.02
92.5,477.914
92.75,466.149
93,461.05
93.25,433.766
93.5,425.656
93.75,403.051
94,417.327
94.25,436.058
94.5,381.184
94.75,393.347
95,413.542
95.25,396.687
95.5,365.858
95.75,308.111
96,310.733
96.25,298.851
96.5,325.224
96.75,261.148
97,283.749
97.25,275.528
97.5,268.665
97.75,241.992
98,256.379
98.25,239.606
98.5,197.025
98.75,203.126
99,193.354
99.25,196.561
99.5,214.215
99.75,221.413
100,175.356
100.25,160.919
100.5,197.485
100.75,156.82
101,142.953
101.25,122.151
101.5,141.96
101.75,163.971
102,139.301
102.25,129.786
102.5,165.747
102.75,119.798
103,120.018
103.25,92.8128
103.5,127.626
103.75,101.731
104,81.8846
104.25,131.561
104.5,104.815
104.75,73.9021
105,93.6516
105.25,104.96
105.5,99.1151
105.75,92.7637
106,97.5077
106.25,67.2137
106.5,79.3901
106.75,62.0076
107,82.3133
107.25,56.6426
107.5,52.4543
107.75,69.8564
108,59.0028
108.25,36.059
108.5,53.1392
108.75,72.8357
109,56.7606
109.25,48.6846
109.5,48.198
109.75,48.6444
110,54.9566
110.25,39.1648
110.5,66.9976
110.75,31.9964
111,45.8382
111.25,36.4843
111.5,32.9241
111.75,26.72
112,35.0452
112.25,26.924
112.5,52.2875
112.75,27.0251
113,33.297
113.25,43.7249
113.5,23.2939
113.75,34.5944
114,41.5407
114.25,23.2872
114.5,24.7577
114.75,30.3473
115,31.7619
115.25,17.9432
115.5,39.8903
115.75,16.0397
116,13.8535
116.25,15.7471
116.5,20.1916
116.75,23.9974
117,15.6921
117.25,19.4483
117.5,23.4657
117.75,15.2201
118,15.0315
118.25,10.5932
118.5,12.4228
118.75,19.6456
119,6.88924
119.25,9.91315
119.5,6.00929
119.75,12.6691
120,10.9261
120.25,12.3001
120.5,9.6591
120.75,5.48236
121,9.18912
121.25,12.2857
121.5,10.3278
121.75,18.0844
122,7.66453
122.25,9.05854
122.5,2.81259
122.75,12.0252
123,4.47063
123.25,6.59182
123.5,8.58575
123.75,8.07494
124,2.75498
124.25,10.6613
124.5,3.56672
124.75,4.84466
125,3.61255
125.25,6.55405
125.5,5.2588
125.75,5.02237
126,6.44281
126.25,7.25206
126.5,3.78093
126.75,2.64548
127,1.34637
127.25,6.5959
127.5,1.79529
127.75,0.540993
128,4.69269
128.25,2.51747
128.5,6.52462
128.75,2.69531
129,4.26672
129.25,3.66935
129.5,1.12228
129.75,3.08283
130,1.68912
130.25,1.95833
130.5,1.03309
130.75,5.66837
131,4.92743
131.25,4.27945
131.5,2.01453
131.75,2.49649
132,3.25405
132.25,2.89771
132.5,0.338847
132.75,0.708579
133,3.49587
133.25,0.368554
133.5,1.65493
133.75,0.577003
134,1.01208
134.25,0.230765
134.5,0.959206
134.75,2.09429
135,1.19094
135.25,0.523241
135.5,1.87194
135.75,0
136,0.240208
136.25,0.423368
136.5,0.971238
136.75,0
137,0.475075
137.25,0.431386
137.5,1.65118
137.75,0.210723
138,0.0296524
138.25,0.0609999
138.5,0.176798
138.75,0
139,1.34249
139.25,2.94781
139.5,0.0203982
139.75,0.580345
140,0.111879
140.25,0.945873
140.5,0
140.75,0.272722
141,0.165249
141.25,1.57647
141.5,0.777021
141.75,0.985084
142,0.0401415
142.25,0
142.5,0.0846603
142.75,0.0215472
143,0
143.25,0
143.5,0
143.75,0
144,0.101083
144.25,0
144.5,1.41977
144.75,0
145,0
145.25,1.13972
145.5,0
145.75,1.31078
146,0
146.25,0
146.5,0.03869
146.75,3.33894
147,0
147.25,0
147.5,1.76983
147.75,0
148,0
148.25,0
148.5,1.51541
148.75,0
149,0
149.25,0.0662112
149.5,0.529778
149.75,0.623609
150,0.234388
150.25,0
150.5,0.380521
150.75,0
151,0
151.25,0
151.5,0.0131747
151.75,0
152,0.290136
152.25,0
152.5,0.589952
152.75,0
153,0
153.25,0.0547935
153.5,0
153.75,0
154,0
154.25,0
154.5,9.15186
154.75,0
155,1.1429
155.25,0
155.5,0
155.75,0.277357
156,0
156.25,0
156.5,0
156.75,0
157,0
157.25,0
157.5,0.0424986
157.75,0
158,0
158.25,0
158.5,0
158.75,0
159,0
159.25,0
159.5,0
159.75,0
160,0
160.25,0
160.5,0
160.75,0
161,0
161.25,0
161.5,0
161.75,0
162,0.0696089
162.25,0
162.5,0
162.75,0
163,0
163.25,0
163.5,0
163.75,0
164,0
164.25,0
164.5,0
164.75,2.22754
165,0
165.25,0
165.5,0
165.75,0
166,0
166.25,0
166.5,0
166.75,0
167,0
167.25,0.569623
167.5,0
167.75,0
168,0
168.25,0
168.5,0
168.75,0
169,0
169.25,0
169.5,0
169.75,0
170,0
170.25,0
170.5,0
170.75,0
171,0
171.25,0
171.5,0
171.75,0
172,0
172.25,0
172.5,0
172.75,0
173,0
173.25,0
173.5,0
173.75,0
174,0
174.25,0
174.5,1.85442
174.75,0
175,0
175.25,0
175.5,0
175.75,0
176,0
176.25,0
176.5,0
176.75,0.632419
177,0
177.25,0
177.5,0
177.75,0
178,0
178.25,0
178.5,0
178.75,0
179,0
179.25,0
179.5,1.86376
179.75,0
180,0
180.25,0
180.5,0
180.75,0
181,0
181.25,0
181.5,0
181.75,0
182,0
182.25,0
182.5,0
182.75,0
183,0
183.25,0
183.5,0
183.75,0
184,0
184.25,0
184.5,0
184.75,0
185,0
185.25,0
185.5,0
185.75,0
186,0
186.25,0
186.5,0
186.75,0
187,0
187.25,0
187.5,0
187.75,0
188,0
188.25,0
188.5,0
188.75,0
189,0
189.25,0
189.5,0
189.75,0
190,0
190.25,0
190.5,0
190.75,0
191,0
191.25,0
191.5,0
191.75,0
192,0
192.25,0
192.5,0
192.75,0
193,0
193.25,0
193.5,0
193.75,0
194,0
194.25,0
194.5,0
194.75,0
195,0
195.25,0
195.5,0
195.75,0
196,0
196.25,0
196.5,0
196.75,0
197,0
197.25,0
197.5,0
197.75,0
198,0
198.25,0
198.5,0
198.75,0
199,0
199.25,0
199.5,0
199.75,0
200,0
200.25,0
200.5,0
200.75,0
201,0
201.25,0
201.5,0
201.75,0
202,0
202.25,0
202.5,0
202.75,0
203,0
203.25,0
203.5,0
203.75,0
204,0
204.25,0
204.5,0
204.75,0
205,0
205.25,0
205.5,0
205.75,0
206,0
206.25,0
206.5,0
206.75,0
207,0
207.25,0
207.5,0
207.75,0
208,0
208.25,0
208.5,0
208.75,0
209,0
209.25,0
209.5,0
209.75,0
210,0
210.25,0
210.5,0
210.75,0
211,0
211.25,0
211.5,0
211.75,0
212,0
212.25,0
212.5,0
212.75,0
213,0
213.25,0
213.5,0
213.75,0
214,0
214.25,0
214.5,0
214.75,0
215,0
215.25,0
215.5,0
215.75,0
216,0
216.25,0
216.5,0
216.75,0
217,0
217.25,0
217.5,0
217.75,0
218,0
218.25,0
218.5,0
218.75,0
219,0
219.25,0
219.5,0
219.75,0
220,0
220.25,0
220.5,0
220.75,0
221,0
221.25,0
221.5,0
221.75,0
222,0
222.25,0
222.5,0
222.75,0
223,0
223.25,0
223.5,0
223.75,0
224,0
224.25,0
224.5,0
224.75,0
225,0
225.25,0
225.5,0
225.75,0
226,0
226.25,0
226.5,0
226.75,0
227,0
227.25,0
227.5,0
227.75,0
228,0
228.25,0
228.5,0
228.75,0
229,0
229.25,0
229.5,0
229.75,0
230,0
230.25,0
230.5,0
230.75,0
231,0
231.25,0
231.5,0
231.75,0
232,0
232.25,0
232.5,0
232.75,0
233,0
233.25,0
233.5,0
233.75,0
234,0
234.25,0
234.5,0
234.75,0
235,0
235.25,0
235.5,0
235.75,0
236,0
236.25,0
236.5,0
236.75,0
237,0
237.25,0
237.5,0
237.75,0
238,0
238.25,0
238.5,0
238.75,0
239,0
239.25,0
239.5,0
239.75,0
240,0
240.25,0
240.5,0
240.75,0
241,0
241.25,0
241.5,0
241.75,0
242,0
242.25,0
242.5,0
242.75,0
243,0
243.25,0
243.5,0
243.75,0
244,0
244.25,0
244.5,0
244.75,0
245,0
245.25,0
245.5,0
245.75,0
246,0
246.25,0
246.5,0
246.75,0
247,0
247.25,0
247.5,0
247.75,0
248,0
248.25,0
248.5,0
248.75,0
249,0
249.25,0
249.5,0
249.75,0
250,0
250.25,0
250.5,0
250.75,0
251,0
251.25,0
251.5,0
251.75,0
252,0
252.25,0
252.5,0
252.75,0
253,0
253.25,0
253.5,0
253.75,0
254,0
254.25,0
254.5,0
254.75,0
255,0
255.25,0
255.5,0
255.75,0
256,0
256.25,0
256.5,0
256.75,0
257,0
257.25,0
257.5,0
257.75,0
258,0
258.25,0
258.5,0
258.75,0
259,0
259.25,0
259.5,0
259.75,0
260,0
260.25,0
260.5,0
260.75,0
261,0
261.25,0
261.5,0
261.75,0
262,0
262.25,0
262.5,0
262.75,0
263,0
263.25,0
263.5,0
263.75,0
264,0
264.25,0
264.5,0
264.75,0
265,0
265.25,0
265.5,0
265.75,0
266,0
266.25,0
266.5,0
266.75,0
267,0
267.25,0
267.5,0
267.75,0
268,0
268.25,0
268.5,0
268.75,0
269,0
269.25,0
269.5,0
269.75,0
270,0
270.25,0
270.5,0
270.75,0
271,0
271.25,0
271.5,0
271.75,0
272,0
272.25,0
272.5,0
272.75,0
273,0
273.25,0
273.5,0
273.75,0
274,0
274.25,0
274.5,0
274.75,0
275,0
275.25,0
275.5,0
275.75,0
276,0
276.25,0
276.5,0
276.75,0
277,0
277.25,0
277.5,0
277.75,0
278,0
278.25,0
278.5,0
278.75,0
279,0
279.25,0
279.5,0
279.75,0
280,0
280.25,0
280.5,0
280.75,0
281,0
281.25,0
281.5,0
281.75,0
282,0
282.25,0
282.5,0
282.75,0
283,0
283.25,0
283.5,0
283.75,0
284,0
284.25,0
284.5,0
284.75,0
285,0
285.25,0
285.5,0
285.75,0
286,0
286.25,0
286.5,0
286.75,0
287,0
287.25,0
287.5,0
287.75,0
288,0
288.25,0
288.5,0
288.75,0
289,0
289.25,0
289.5,0
289.75,0
290,0
290.25,0
290.5,0
290.75,0
291,0
291.25,0
291.5,0
291.75,0
292,0
292.25,0
292.5,0
292.75,0
293,0
293.25,0
293.5,0
293.75,0
294,0
294.25,0
294.5,0
294.75,0
295,0
295.25,0
295.5,0
295.75,0
296,0
296.25,0
296.5,0
296.75,0
297,0
297.25,0
297.5,0
297.75,0
298,0
298.25,0
298.5,0
298.75,0
299,0
299.25,0
299.5,0
299.75,0
300,0
300.25,0
300.5,0
300.75,0
301,0
301.25,0
301.5,0
301.75,0
302,0
302.25,0
302.5,0
302.75,0
303,0
303.25,0
303.5,0
303.75,0
304,0
304.25,0
304.5,0
304.75,0
305,0
305.25,0
305.5,0
305.75,0
306,0
306.25,0
306.5,0
306.75,0
307,0
307.25,0
307.5,0
307.75,0
308,0
308.25,0
308.5,0
308.75,0
309,0
309.25,0
309.5,0
309.75,0
310,0
310.25,0
310.5,0
310.75,0
311,0
311.25,0
311.5,0
311.75,0
312,0
312.25,0
312.5,0
312.75,0
313,0
313.25,0
313.5,0
313.75,0
314,0
314.25,0
314.5,0
314.75,0
315,0
315.25,0
315.5,0
315.75,0
316,0
316.25,0
316.5,0
316.75,0
317,0
317.25,0
317.5,0
317.75,0
318,0
318.25,0
318.5,0
318.75,0
319,0
319.25,0
319.5,0
319.75,0
320,0
320.25,0
320.5,0
320.75,0
321,0
321.25,0
321.5,0
321.75,0
322,0
322.25,0
322.5,0
322.75,0
323,0
323.25,0
323.5,0
323.75,0
324,0
324.25,0
324.5,0
324.75,0
325,0
325.25,0
325.5,0
325.75,0
326,0
326.25,0
326.5,0
326.75,0
327,0
327.25,0
327.5,0
327.75,0
328,0
328.25,0
328.5,0
328.75,0
329,0
329.25,0
329.5,0
329.75,0
330,0
330.25,0
330.5,0
330.75,0
331,0
331.25,0
331.5,0
331.75,0
332,0
332.25,0
332.5,0
332.75,0
333,0
333.25,0
333.5,0
333.75,0
334,0
334.25,0
334.5,0
334.75,0
335,0
335.25,0
335.5,0
335.75,0
336,0
336.25,0
336.5,0
336.75,0
337,0
337.25,0
337.5,0
337.75,0
338,0
338.25,0
338.5,0
338.75,0
339,0
339.25,0
339.5,0
339.75,0
340,0
340.25,0
340.5,0
340.75,0
341,0
341.25,0
341.5,0
341.75,0
342,0
342.25,0
342.5,0
342.75,0
343,0
343.25,0
343.5,0
343.75,0
344,0
344.25,0
344.5,0
344.75,0
345,0
345.25,0
345.5,0
345.75,0
346,0
346.25,0
346.5,0
346.75,0
347,0
347.25,0
347.5,0
347.75,0
348,0
348.25,0
348.5,0
348.75,0
349,0
349.25,0
349.5,0
349.75,0
350,0
350.25,0
350.5,0
350.75,0
351,0
351.25,0
351.5,0
351.75,0
352,0
352.25,0
352.5,0
352.75,0
353,0
353.25,0
353.5,0
353.75,0
354,0
354.25,0
354.5,0
354.75,0
355,0
355.25,0
355.5,0
355.75,0
356,0
356.25,0
356.5,0
356.75,0
357,0
357.25,0
357.5,0
357.75,0
358,0
358.25,0
358.5,0
358.75,0
359,0
359.25,0
359.5,0
359.75,0
360,0
360.25,0
360.5,0
360.75,0
361,0
361.25,0
361.5,0
361.75,0
362,0
362.25,0
362.5,0
362.75,0
363,0
363.25,0
363.5,0
363.75,0
364,0
364.25,0
364.5,0
364.75,0
