Time,num_affected
0,1000
0.25,1000
0.5,1000
0.75,1043
1,1117
1.25,1206
1.5,1310
1.75,1432
2,1557
2.25,1668
2.5,1781
2.75,1913
3,2053
3.25,2201
3.5,2321
3.75,2471
4,2623
4.25,2792
4.5,2936
4.75,3136
5,3319
5.25,3507
5.5,3715
5.75,3894
6,4123
6.25,4335
6.5,4583
6.75,4838
7,5109
7.25,5371
7.5,5650
7.75,5988
8,6345
8.25,6676
8.5,7052
8.75,7452
9,7858
9.25,8303
9.5,8713
9.75,9160
10,9576
10.25,10082
10.5,10629
10.75,11139
11,11679
11.25,12338
11.5,12958
11.75,13585
12,14353
12.25,15122
12.5,15896
12.75,16633
13,17467
13.25,18326
13.5,19247
13.75,20227
14,21186
14.25,22177
14.5,23220
14.75,24287
15,25405
15.25,26634
15.5,27892
15.75,29221
16,30701
16.25,32169
16.5,33636
16.75,35259
17,36934
17.25,38608
17.5,40359
17.75,42210
18,44168
18.25,46109
18.5,48174
18.75,50396
19,52637
19.25,55006
19.5,57504
19.75,60077
20,62767
20.25,65541
20.5,68458
20.75,71577
21,74846
21.25,78294
21.5,81843
21.75,85549
22,89277
22.25,93304
22.5,97543
22.75,101842
23,106398
23.25,111175
23.5,116002
23.75,121323
24,126715
24.25,132505
24.5,138589
24.75,144846
25,151292
25.25,158078
25.5,165113
25.75,172511
26,180081
26.25,188195
26.5,196412
26.75,205135
27,214194
27.25,223723
27.5,233509
27.75,243800
28,254680
28.25,266052
28.5,277727
28.75,289782
29,302442
29.25,315525
29.5,329259
29.75,343398
30,358342
30.25,374028
30.5,390439
30.75,407443
31,425042
31.25,443434
31.5,462697
31.75,482344
32,503126
32.25,524344
32.5,546629
32.75,569752
33,593932
33.25,618883
33.5,644868
33.75,672057
34,700164
34.25,729457
34.5,759569
34.75,791248
35,823620
35.25,857600
35.5,892669
35.75,929422
36,967380
36.25,1006751
36.5,1047229
36.75,1088916
37,1131779
37.25,1176193
37.5,1221766
37.75,1268808
38,1318138
38.25,1368451
38.5,1420916
38.75,1474286
39,1529170
39.25,1585228
39.5,1643539
39.75,1703198
40,1763927
40.25,1826783
40.5,1891307
40.75,1956939
41,2024211
41.25,2093321
41.5,2164081
41.75,2236407
42,2309971
42.25,2384498
42.5,2460478
42.75,2537744
43,2615976
43.25,2695523
43.5,2776429
43.75,2858912
44,2942108
44.25,3026197
44.5,3111636
44.75,3197769
45,3284506
45.25,3371331
45.5,3458962
45.75,3547603
46,3636179
46.25,3725141
46.5,3814585
46.75,3903207
47,3992191
47.25,4081329
47.5,4170886
47.75,4259927
48,4348663
48.25,4436979
48.5,4524060
48.75,4610612
49,4696698
49.25,4781543
49.5,4866416
49.75,4950202
50,5032766
50.25,5114338
50.5,5194807
50.75,5274000
51,5352188
51.25,5428864
51.5,5504121
51.75,5578417
52,5650737
52.25,5722028
52.5,5792095
52.75,5859888
53,5926534
53.25,5991903
53.5,6055511
53.75,6117588
54,6178242
54.25,6237482
54.5,6295038
54.75,6351174
55,6405763
55.25,6459269
55.5,6510811
55.75,6560802
56,6609534
56.25,6656468
56.5,6701962
56.75,6746279
57,6789194
57.25,6830933
57.5,6871155
57.75,6910016
58,6947767
58.25,6984503
58.5,7019712
58.75,7053799
59,7087122
59.25,7119224
59.5,7150750
59.75,7180788
60,7209764
60.25,7237920
60.5,7265032
60.75,7291153
61,7316361
61.25,7340794
61.5,7364388
61.75,7387128
62,7408968
62.25,7430019
62.5,7450731
62.75,7470360
63,7489253
63.25,7507443
63.5,7525242
63.75,7542364
64,7559022
64.25,7575023
64.5,7590398
64.75,7605243
65,7619693
65.25,7633561
65.5,7646900
65.75,7659718
66,7672270
66.25,7684219
66.5,7695813
66.75,7707010
67,7717816
67.25,7728100
67.5,7737971
67.75,7747663
68,7757043
68.25,7766081
68.5,7774718
68.75,7782965
69,7790900
69.25,7798668
69.5,7806067
69.75,7813301
70,7820220
70.25,7826937
70.5,7833367
70.75,7839564
71,7845709
71.25,7851532
71.5,7857148
71.75,7862603
72,7867980
72.25,7872950
72.5,7877768
72.75,7882491
73,7886942
73.25,7891349
73.5,7895697
73.75,7899937
74,7903796
74.25,7907517
74.5,7911267
74.75,7914859
75,7918326
75.25,7921624
75.5,7924795
75.75,7928024
76,7931021
76.25,7933889
76.5,7936610
76.75,7939357
77,7942004
77.25,7944545
77.5,7946931
77.75,7949331
78,7951566
78.25,7953692
78.5,7955797
78.75,7957860
79,7959838
79.25,7961763
79.5,7963635
79.75,7965449
80,7967148
80.25,7968885
80.5,7970505
80.75,7972099
81,7973627
81.25,7975068
81.5,7976485
81.75,7977836
82,7979079
82.25,7980366
82.5,7981579
82.75,7982813
83,7983987
83.25,7985101
83.5,7986213
83.75,7987264
84,7988292
84.25,7989215
84.5,7990183
84.75,7991099
85,7991978
85.25,7992857
85.5,7993614
85.75,7994411
86,7995189
86.25,7995947
86.5,7996648
86.75,7997344
87,7998018
87.25,7998697
87.5,7999390
87.75,8000000
88,8000607
88.25,8001244
88.5,8001783
88.75,8002324
89,8002818
89.25,8003354
89.5,8003848
89.75,8004332
90,8004799
90.25,8005256
90.5,8005683
90.75,8006089
91,8006496
91.25,8006898
91.5,8007273
91.75,8007643
92,8007957
92.25,8008268
92.5,8008612
92.75,8008897
93,8009214
93.25,8009516
93.5,8009810
93.75,8010068
94,8010307
94.25,8010593
94.5,8010828
94.75,8011069
95,8011324
95.25,8011556
95.5,8011785
95.75,8012013
96,8012224
96.25,8012425
96.5,8012597
96.75,8012767
97,8012926
97.25,8013097
97.5,8013249
97.75,8013420
98,8013599
98.25,8013744
98.5,8013887
98.75,8014043
99,8014197
99.25,8014328
99.5,8014457
99.75,8014597
100,8014708
100.25,8014832
100.5,8014958
100.75,8015064
101,8015154
101.25,8015279
101.5,8015379
101.75,8015458
102,8015538
102.25,8015657
102.5,8015725
102.75,8015796
103,8015872
103.25,8015955
103.5,8016024
103.75,8016088
104,8016179
104.25,8016243
104.5,8016312
104.75,8016384
105,8016457
105.25,8016530
105.5,8016589
105.75,8016654
106,8016707
106.25,8016748
106.5,8016793
106.75,8016838
107,8016886
107.25,8016931
107.5,8016976
107.75,8017015
108,8017060
108.25,8017096
108.5,8017128
108.75,8017183
109,8017223
109.25,8017252
109.5,8017281
109.75,8017316
110,8017349
110.25,8017391
110.5,8017418
110.75,8017450
111,8017479
111.25,8017507
111.5,8017526
111.75,8017546
112,8017575
112.25,8017606
112.5,8017628
112.75,8017651
113,8017677
113.25,8017694
113.5,8017719
113.75,8017737
114,8017754
114.25,8017773
114.5,8017797
114.75,8017810
115,8017824
115.25,8017841
115.5,8017859
115.75,8017879
116,8017890
116.25,8017905
116.5,8017921
116.75,8017929
117,8017941
117.25,8017950
117.5,8017960
117.75,8017974
118,8017983
118.25,8017992
118.5,8017999
118.75,8018008
119,8018022
119.25,8018035
119.5,8018038
119.75,8018050
120,8018055
120.25,8018056
120.5,8018066
120.75,8018070
121,8018074
121.25,8018080
121.5,8018093
121.75,8018107
122,8018109
122.25,8018115
122.5,8018118
122.75,8018125
123,8018128
123.25,8018133
123.5,8018139
123.75,8018144
124,8018148
124.25,8018151
124.5,8018154
124.75,8018164
125,8018169
125.25,8018171
125.5,8018175
125.75,8018180
126,8018185
126.25,8018187
126.5,8018190
126.75,8018195
127,8018200
127.25,8018201
127.5,8018204
127.75,8018209
128,8018214
128.25,8018216
128.5,8018221
128.75,8018224
129,8018227
129.25,8018229
129.5,8018232
129.75,8018234
130,8018234
130.25,8018235
130.5,8018238
130.75,8018238
131,8018238
131.25,8018242
131.5,8018246
131.75,8018250
132,8018251
132.25,8018254
132.5,8018255
132.75,8018256
133,8018259
133.25,8018261
133.5,8018263
133.75,8018264
134,8018268
134.25,8018269
134.5,8018269
134.75,8018270
135,8018272
135.25,8018272
135.5,8018273
135.75,8018274
136,8018275
136.25,8018276
136.5,8018278
136.75,8018279
137,8018281
137.25,8018281
137.5,8018281
137.75,8018282
138,8018283
138.25,8018283
138.5,8018284
138.75,8018284
139,8018285
139.25,8018286
139.5,8018287
139.75,8018287
140,8018288
140.25,8018289
140.5,8018289
140.75,8018289
141,8018289
141.25,8018289
141.5,8018290
141.75,8018290
142,8018290
142.25,8018290
142.5,8018290
142.75,8018290
143,8018290
143.25,8018290
143.5,8018290
143.75,8018290
144,8018290
