Time,num_cases
0,0
0.25,0
0.5,51
0.75,102
1,153
1.25,198
1.5,250
1.75,296
2,342
2.25,380
2.5,420
2.75,455
3,493
3.25,534
3.5,564
3.75,602
4,640
4.25,690
4.5,732
4.75,778
5,834
5.25,883
5.5,932
5.75,993
6,1057
6.25,1117
6.5,1186
6.75,1244
7,1313
7.25,1382
7.5,1469
7.75,1564
8,1656
8.25,1741
8.5,1838
8.75,1958
9,2066
9.25,2176
9.5,2311
9.75,2433
10,2587
10.25,2724
10.5,2887
10.75,3043
11,3212
11.25,3397
11.5,3587
11.75,3792
12,3992
12.25,4214
12.5,4426
12.75,4668
13,4888
13.25,5155
13.5,5419
13.75,5712
14,5991
14.25,6278
14.5,6578
14.75,6914
15,7266
15.25,7626
15.5,8047
15.75,8475
16,8919
16.25,9362
16.5,9826
16.75,10307
17,10799
17.25,11315
17.5,11864
17.75,12428
18,13018
18.25,13651
18.5,14289
18.75,14938
19,15707
19.25,16475
19.5,17218
19.75,17984
20,18832
20.25,19737
20.5,20689
20.75,21695
21,22742
21.25,23802
21.5,24853
21.75,26011
22,27195
22.25,28480
22.5,29815
22.75,31083
23,32481
23.25,34021
23.5,35594
23.75,37196
24,38944
24.25,40715
24.5,42529
24.75,44446
25,46519
25.25,48576
25.5,50736
25.75,52915
26,55312
26.25,57861
26.5,60406
26.75,63097
27,65935
27.25,69012
27.5,72098
27.75,75322
28,78664
28.25,82125
28.5,85767
28.75,89566
29,93533
29.25,97612
29.5,101901
29.75,106449
30,111259
30.25,116254
30.5,121416
30.75,126817
31,132329
31.25,138205
31.5,144278
31.75,150529
32,157100
32.25,164161
32.5,171213
32.75,178576
33,186450
33.25,194534
33.5,203016
33.75,211876
34,221134
34.25,230812
34.5,240762
34.75,250987
35,261824
35.25,273049
35.5,284802
35.75,297006
36,309648
36.25,322591
36.5,336379
36.75,350707
37,365611
37.25,381044
37.5,396975
37.75,413656
38,430780
38.25,448743
38.5,467198
38.75,486185
39,506252
39.25,527028
39.5,548267
39.75,570061
40,593123
40.25,616867
40.5,641510
40.75,666679
41,693018
41.25,719937
41.5,747663
41.75,776098
42,805463
42.25,835653
42.5,866796
42.75,899325
43,932285
43.25,966501
43.5,1001668
43.75,1037932
44,1074726
44.25,1112591
44.5,1151871
44.75,1191925
45,1232952
45.25,1274008
45.5,1316575
45.75,1359696
46,1403391
46.25,1448660
46.5,1494661
46.75,1541318
47,1589038
47.25,1637197
47.5,1685779
47.75,1735131
48,1785177
48.25,1835690
48.5,1887430
48.75,1939769
49,1992510
49.25,2045690
49.5,2099191
49.75,2153580
50,2208484
50.25,2263501
50.5,2318612
50.75,2373702
51,2429142
51.25,2484291
51.5,2540116
51.75,2596385
52,2652263
52.25,2708230
52.5,2763571
52.75,2819457
53,2873965
53.25,2929084
53.5,2983582
53.75,3038102
54,3091883
54.25,3145107
54.5,3198298
54.75,3250981
55,3302972
55.25,3354327
55.5,3405098
55.75,3455243
56,3504642
56.25,3553388
56.5,3601497
56.75,3648965
57,3695763
57.25,3741300
57.5,3786326
57.75,3830864
58,3874258
58.25,3916729
58.5,3958841
58.75,3999551
59,4039595
59.25,4078677
59.5,4117122
59.75,4154122
60,4190780
60.25,4226369
60.5,4261402
60.75,4295370
61,4328856
61.25,4361380
61.5,4392837
61.75,4423475
62,4453490
62.25,4482595
62.5,4510755
62.75,4538171
63,4564718
63.25,4590816
63.5,4616073
63.75,4640841
64,4664509
64.25,4687739
64.5,4710350
64.75,4732146
65,4753193
65.25,4773800
65.5,4793481
65.75,4812602
66,4831545
66.25,4849455
66.5,4866935
66.75,4883797
67,4900339
67.25,4916153
67.5,4931665
67.75,4946479
68,4960884
68.25,4974858
68.5,4988129
68.75,5001072
69,5013477
69.25,5025510
69.5,5037174
69.75,5048588
70,5059442
70.25,5070181
70.5,5080368
70.75,5090414
71,5099999
71.25,5109161
71.5,5118077
71.75,5126814
72,5135172
72.25,5143158
72.5,5151067
72.75,5158480
73,5165614
73.25,5172615
73.5,5179263
73.75,5185680
74,5191770
74.25,5197914
74.5,5203727
74.75,5209435
75,5215019
75.25,5220230
75.5,5225327
75.75,5230317
76,5234920
