Time,num_critical
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,1
10,2
10.25,2
10.5,2
10.75,2
11,2
11.25,2
11.5,2
11.75,3
12,4
12.25,5
12.5,5
12.75,5
13,6
13.25,6
13.5,6
13.75,6
14,7
14.25,8
14.5,8
14.75,8
15,9
15.25,9
15.5,10
15.75,10
16,11
16.25,11
16.5,12
16.75,15
17,16
17.25,17
17.5,20
17.75,20
18,19
18.25,21
18.5,22
18.75,23
19,24
19.25,24
19.5,27
19.75,27
20,27
20.25,27
20.5,27
20.75,31
21,32
21.25,34
21.5,36
21.75,38
22,38
22.25,42
22.5,43
22.75,44
23,45
23.25,48
23.5,53
23.75,56
24,57
24.25,59
24.5,59
24.75,59
25,58
25.25,61
25.5,63
25.75,66
26,71
26.25,72
26.5,75
26.75,80
27,84
27.25,88
27.5,93
27.75,97
28,103
28.25,106
28.5,111
28.75,109
29,113
29.25,120
29.5,131
29.75,139
30,151
30.25,151
30.5,159
30.75,169
31,179
31.25,182
31.5,186
31.75,194
32,205
32.25,213
32.5,218
32.75,231
33,247
33.25,256
33.5,268
33.75,280
34,288
34.25,305
34.5,321
34.75,329
35,344
35.25,362
35.5,380
35.75,392
36,414
36.25,430
36.5,461
36.75,485
37,508
37.25,530
37.5,542
37.75,566
38,584
38.25,617
38.5,649
38.75,677
39,704
39.25,743
39.5,773
39.75,812
40,841
40.25,881
40.5,918
40.75,955
41,991
41.25,1037
41.5,1079
41.75,1126
42,1186
42.25,1235
42.5,1275
42.75,1333
43,1385
43.25,1447
43.5,1514
43.75,1564
44,1629
44.25,1705
44.5,1767
44.75,1827
45,1909
45.25,1979
45.5,2062
45.75,2161
46,2243
46.25,2333
46.5,2443
46.75,2546
47,2658
47.25,2752
47.5,2876
47.75,2970
48,3093
48.25,3198
48.5,3353
48.75,3481
49,3658
49.25,3827
49.5,3992
49.75,4160
50,4290
50.25,4459
50.5,4658
50.75,4840
51,5017
51.25,5229
51.5,5434
51.75,5666
52,5861
52.25,6093
52.5,6320
52.75,6580
53,6830
53.25,7050
53.5,7348
53.75,7578
54,7880
54.25,8181
54.5,8451
54.75,8750
55,9030
55.25,9335
55.5,9643
55.75,9971
56,10300
56.25,10622
56.5,10941
56.75,11271
57,11617
57.25,11950
57.5,12300
57.75,12660
58,13008
58.25,13376
58.5,13772
58.75,14190
59,14618
59.25,14981
59.5,15356
59.75,15721
60,16157
60.25,16475
60.5,16896
60.75,17289
61,17703
61.25,18155
61.5,18536
61.75,18890
62,19299
62.25,19720
62.5,20063
62.75,20466
63,20858
63.25,21229
63.5,21608
63.75,21972
64,22331
64.25,22705
64.5,23058
64.75,23404
65,23670
65.25,24050
65.5,24332
65.75,24633
66,24959
66.25,25191
66.5,25443
66.75,25694
67,25914
67.25,26176
67.5,26359
67.75,26612
68,26834
68.25,27077
68.5,27265
68.75,27398
69,27537
69.25,27619
69.5,27708
69.75,27894
70,27951
70.25,27945
70.5,28026
70.75,28026
71,28080
71.25,28084
71.5,28043
71.75,28034
72,27989
72.25,27922
72.5,27838
72.75,27747
73,27684
73.25,27534
73.5,27423
73.75,27279
74,27142
74.25,27024
74.5,26843
74.75,26590
75,26345
75.25,26135
75.5,25933
75.75,25619
76,25275
76.25,25040
76.5,24720
76.75,24497
77,24175
77.25,23939
77.5,23677
77.75,23368
78,23051
78.25,22756
78.5,22464
78.75,22138
79,21760
79.25,21467
79.5,21153
79.75,20825
80,20491
80.25,20210
80.5,19899
80.75,19590
81,19251
81.25,18918
81.5,18604
81.75,18297
82,17970
82.25,17606
82.5,17271
82.75,16963
83,16685
83.25,16372
83.5,16059
83.75,15824
84,15576
84.25,15273
84.5,14971
84.75,14649
85,14345
85.25,14022
85.5,13701
85.75,13396
86,13092
86.25,12808
86.5,12511
