Time,num_cumulative_hospitalizations
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,1
1.75,2
2,3
2.25,5
2.5,5
2.75,5
3,6
3.25,8
3.5,9
3.75,10
4,12
4.25,14
4.5,17
4.75,18
5,21
5.25,22
5.5,23
5.75,23
6,24
6.25,27
6.5,30
6.75,30
7,31
7.25,33
7.5,34
7.75,35
8,41
8.25,44
8.5,46
8.75,51
9,55
9.25,57
9.5,61
9.75,62
10,64
10.25,72
10.5,74
10.75,80
11,83
11.25,87
11.5,94
11.75,99
12,103
12.25,105
12.5,109
12.75,113
13,120
13.25,124
13.5,130
13.75,138
14,143
14.25,155
14.5,161
14.75,170
15,177
15.25,183
15.5,198
15.75,210
16,217
16.25,234
16.5,248
16.75,265
17,274
17.25,289
17.5,303
17.75,326
18,346
18.25,360
18.5,377
18.75,398
19,424
19.25,445
19.5,464
19.75,486
20,512
20.25,540
20.5,563
20.75,589
21,621
21.25,662
21.5,695
21.75,737
22,768
22.25,803
22.5,841
22.75,883
23,934
23.25,979
23.5,1029
23.75,1080
24,1119
24.25,1167
24.5,1217
24.75,1286
25,1344
25.25,1407
25.5,1466
25.75,1531
26,1599
26.25,1676
26.5,1761
26.75,1850
27,1933
27.25,2018
27.5,2123
27.75,2222
28,2333
28.25,2418
28.5,2556
28.75,2679
29,2789
29.25,2930
29.5,3067
29.75,3200
30,3341
30.25,3508
30.5,3666
30.75,3827
31,3982
31.25,4169
31.5,4366
31.75,4547
32,4752
32.25,4964
32.5,5176
32.75,5437
33,5691
33.25,5941
33.5,6213
33.75,6510
34,6789
34.25,7095
34.5,7386
34.75,7735
35,8089
35.25,8408
35.5,8797
35.75,9160
36,9575
36.25,9965
36.5,10406
36.75,10802
37,11271
37.25,11759
37.5,12243
37.75,12745
38,13264
38.25,13868
38.5,14471
38.75,15099
39,15766
39.25,16408
39.5,17101
39.75,17780
40,18540
40.25,19318
40.5,20177
40.75,20970
41,21865
41.25,22803
41.5,23744
41.75,24705
42,25674
42.25,26714
42.5,27762
42.75,28879
43,29961
43.25,31172
43.5,32422
43.75,33734
44,34972
44.25,36305
44.5,37695
44.75,39151
45,40638
45.25,42078
45.5,43653
45.75,45240
46,46897
46.25,48660
46.5,50392
46.75,52214
47,54064
47.25,55907
47.5,57798
47.75,59776
48,61909
48.25,63905
48.5,65984
48.75,68161
49,70464
49.25,72709
49.5,75022
49.75,77305
50,79651
50.25,82012
50.5,84519
50.75,87110
51,89699
51.25,92284
51.5,94956
51.75,97663
52,100485
52.25,103154
52.5,105985
52.75,108832
53,111782
53.25,114702
53.5,117622
53.75,120439
54,123478
54.25,126502
54.5,129502
54.75,132592
55,135647
55.25,138735
55.5,141829
55.75,144941
56,148019
56.25,151166
56.5,154334
56.75,157475
57,160514
57.25,163658
57.5,166680
57.75,169829
58,172938
58.25,175953
58.5,179011
58.75,182153
59,185274
59.25,188320
59.5,191383
59.75,194468
60,197438
60.25,200478
60.5,203549
60.75,206498
61,209497
61.25,212489
61.5,215462
61.75,218321
62,221155
62.25,223891
62.5,226632
62.75,229449
63,232283
63.25,234898
63.5,237550
63.75,240258
64,242737
64.25,245283
64.5,247826
64.75,250323
65,252699
65.25,255116
65.5,257455
65.75,259787
66,262039
66.25,264366
66.5,266613
66.75,268695
67,270811
67.25,272974
67.5,274978
67.75,276916
68,278834
68.25,280833
68.5,282759
68.75,284725
69,286601
69.25,288518
69.5,290258
69.75,291983
70,293646
70.25,295357
70.5,297042
70.75,298609
71,300171
71.25,301727
71.5,303193
71.75,304676
72,306113
72.25,307532
72.5,308957
72.75,310302
73,311580
73.25,312852
73.5,314124
73.75,315376
74,316550
74.25,317641
74.5,318834
74.75,319881
75,320959
75.25,322003
75.5,323015
75.75,324088
76,325040
76.25,325988
76.5,326907
76.75,327814
77,328668
77.25,329505
77.5,330348
77.75,331133
78,331903
78.25,332665
78.5,333402
78.75,334152
79,334908
79.25,335605
79.5,336319
79.75,336977
80,337595
80.25,338239
80.5,338802
80.75,339389
81,339938
81.25,340490
81.5,341016
81.75,341486
82,342006
82.25,342501
82.5,342962
82.75,343424
83,343865
83.25,344311
83.5,344728
