Time,num_cumulative_infective
0,0
0.25,112
0.5,211
0.75,293
1,359
1.25,430
1.5,495
1.75,553
2,603
2.25,657
2.5,705
2.75,762
3,816
3.25,867
3.5,925
3.75,980
4,1057
4.25,1133
4.5,1217
4.75,1295
5,1369
5.25,1443
5.5,1537
5.75,1637
6,1748
6.25,1844
6.5,1926
6.75,2066
7,2187
7.25,2320
7.5,2455
7.75,2593
8,2733
8.25,2894
8.5,3052
8.75,3205
9,3389
9.25,3580
9.5,3781
9.75,4032
10,4254
10.25,4489
10.5,4716
10.75,4986
11,5294
11.25,5600
11.5,5904
11.75,6210
12,6565
12.25,6900
12.5,7266
12.75,7651
13,8056
13.25,8455
13.5,8900
13.75,9338
14,9822
14.25,10353
14.5,10897
14.75,11465
15,12050
15.25,12688
15.5,13333
15.75,13996
16,14692
16.25,15438
16.5,16183
16.75,16978
17,17781
17.25,18613
17.5,19529
17.75,20416
18,21425
18.25,22427
18.5,23520
18.75,24699
19,25839
19.25,26978
19.5,28214
19.75,29577
20,31004
20.25,32443
20.5,33996
20.75,35599
21,37290
21.25,38924
21.5,40719
21.75,42584
22,44585
22.25,46548
22.5,48589
22.75,50843
23,53233
23.25,55711
23.5,58276
23.75,60914
24,63698
24.25,66551
24.5,69536
24.75,72737
25,76001
25.25,79479
25.5,83080
25.75,86922
26,90752
26.25,94733
26.5,98929
26.75,103393
27,108163
27.25,113030
27.5,118080
27.75,123336
28,128832
28.25,134562
28.5,140495
28.75,146692
29,153226
29.25,160087
29.5,167156
29.75,174568
30,182350
30.25,190450
30.5,199013
30.75,207780
31,216965
31.25,226400
31.5,236253
31.75,246430
32,257474
32.25,268544
32.5,280299
32.75,292409
33,304996
33.25,318358
33.5,332256
33.75,346753
34,361572
34.25,376995
34.5,393207
34.75,410239
35,427778
35.25,446202
35.5,465285
35.75,485137
36,505284
36.25,526628
36.5,548728
36.75,572170
37,596286
37.25,621108
37.5,646971
37.75,673937
38,701734
38.25,730312
38.5,760367
38.75,791423
39,823543
39.25,856596
39.5,890824
39.75,926829
40,963308
40.25,1001784
40.5,1040956
40.75,1081402
41,1123068
41.25,1165839
41.5,1210162
41.75,1255830
42,1302614
42.25,1350697
42.5,1400940
42.75,1451842
43,1504625
43.25,1559070
43.5,1614642
43.75,1671220
44,1729149
44.25,1789125
44.5,1849740
44.75,1912092
45,1975899
45.25,2040712
45.5,2107203
45.75,2174465
46,2243527
46.25,2313417
46.5,2384576
46.75,2456662
47,2529754
47.25,2604109
47.5,2679422
47.75,2755476
48,2832611
48.25,2911287
48.5,2990921
48.75,3070603
49,3150714
49.25,3231493
49.5,3313662
49.75,3395606
50,3478147
50.25,3561028
50.5,3643974
50.75,3727205
51,3810444
51.25,3894356
51.5,3977829
51.75,4060901
52,4143964
52.25,4226576
52.5,4309060
52.75,4391089
53,4472577
53.25,4553860
53.5,4634423
53.75,4713835
54,4793049
54.25,4870943
54.5,4949024
54.75,5025481
55,5100871
55.25,5175952
55.5,5249869
55.75,5322795
56,5394814
56.25,5465270
56.5,5535088
56.75,5603412
57,5670296
57.25,5736229
57.5,5800684
57.75,5864249
58,5926222
58.25,5986816
58.5,6046111
58.75,6104923
59,6161948
59.25,6217667
59.5,6272034
59.75,6325041
60,6376489
60.25,6427059
60.5,6476393
60.75,6524551
61,6571404
61.25,6617007
61.5,6661259
61.75,6704554
62,6746557
62.25,6787482
62.5,6827030
62.75,6865596
63,6902867
63.25,6939279
63.5,6974789
63.75,7008970
64,7042209
64.25,7074416
64.5,7105554
64.75,7136031
65,7165385
65.25,7193498
65.5,7221349
65.75,7248270
66,7273912
66.25,7298745
66.5,7323124
66.75,7346806
67,7369542
67.25,7391662
67.5,7412986
67.75,7433624
68,7453692
68.25,7472638
68.5,7491243
68.75,7509193
69,7526696
69.25,7543391
69.5,7559547
69.75,7575455
70,7590480
70.25,7605352
70.5,7619517
70.75,7633029
71,7646223
71.25,7659019
71.5,7671321
71.75,7683362
72,7694622
72.25,7705821
72.5,7716472
72.75,7726619
73,7736544
73.25,7746190
73.5,7755281
73.75,7764187
74,7772983
74.25,7781288
74.5,7789418
74.75,7797186
75,7804672
75.25,7812030
75.5,7819056
75.75,7825764
76,7832082
76.25,7838351
76.5,7844493
76.75,7850332
77,7856088
77.25,7861533
77.5,7866835
77.75,7871860
78,7876779
78.25,7881663
78.5,7886252
78.75,7890665
79,7894975
79.25,7899142
79.5,7903159
79.75,7906906
80,7910561
80.25,7914148
80.5,7917693
80.75,7921003
81,7924251
81.25,7927413
81.5,7930443
81.75,7933334
82,7936184
82.25,7938946
82.5,7941611
82.75,7944267
83,7946748
83.25,7949165
83.5,7951416
83.75,7953718
84,7955828
84.25,7957876
84.5,7959806
84.75,7961718
85,7963630
85.25,7965473
85.5,7967268
85.75,7968909
86,7970572
86.25,7972160
86.5,7973568
86.75,7975028
87,7976412
87.25,7977781
87.5,7979116
87.75,7980444
88,7981674
88.25,7982844
88.5,7983993
88.75,7985125
89,7986201
89.25,7987251
89.5,7988276
89.75,7989245
90,7990137
90.25,7991040
90.5,7991855
90.75,7992702
91,7993599
91.25,7994398
91.5,7995162
91.75,7995920
92,7996645
92.25,7997381
92.5,7998073
92.75,7998756
93,7999400
93.25,8000028
93.5,8000612
93.75,8001144
94,8001699
94.25,8002259
94.5,8002785
94.75,8003315
95,8003814
95.25,8004327
95.5,8004770
95.75,8005201
96,8005628
96.25,8006038
96.5,8006462
96.75,8006815
97,8007185
97.25,8007551
97.5,8007928
97.75,8008241
98,8008560
98.25,8008876
98.5,8009175
98.75,8009483
99,8009763
99.25,8010035
99.5,8010335
99.75,8010641
100,8010873
100.25,8011102
100.5,8011344
100.75,8011590
101,8011817
101.25,8011997
101.5,8012182
101.75,8012377
102,8012554
102.25,8012741
102.5,8012933
102.75,8013108
103,8013272
103.25,8013427
103.5,8013596
103.75,8013753
104,8013881
104.25,8014056
104.5,8014196
104.75,8014329
105,8014471
105.25,8014613
105.5,8014737
105.75,8014851
106,8014981
106.25,8015081
106.5,8015180
106.75,8015265
107,8015359
107.25,8015434
107.5,8015529
107.75,8015617
108,8015702
108.25,8015761
108.5,8015845
108.75,8015950
109,8016033
109.25,8016100
109.5,8016180
109.75,8016250
110,8016320
110.25,8016372
110.5,8016448
110.75,8016498
111,8016572
111.25,8016614
111.5,8016671
111.75,8016715
112,8016764
112.25,8016818
112.5,8016873
112.75,8016908
113,8016952
113.25,8016998
113.5,8017036
113.75,8017078
114,8017132
114.25,8017164
114.5,8017202
114.75,8017240
115,8017275
115.25,8017307
115.5,8017347
115.75,8017380
116,8017406
116.25,8017441
116.5,8017472
116.75,8017508
117,8017529
117.25,8017563
117.5,8017592
117.75,8017622
118,8017643
118.25,8017664
118.5,8017688
118.75,8017714
119,8017728
119.25,8017744
119.5,8017761
119.75,8017779
120,8017797
120.25,8017815
120.5,8017830
120.75,8017844
121,8017854
121.25,8017873
121.5,8017886
121.75,8017899
122,8017911
122.25,8017930
122.5,8017938
122.75,8017950
123,8017961
123.25,8017973
123.5,8017982
123.75,8017993
124,8018002
124.25,8018014
124.5,8018022
124.75,8018029
125,8018035
125.25,8018046
125.5,8018059
125.75,8018065
126,8018072
126.25,8018082
126.5,8018087
126.75,8018089
127,8018094
127.25,8018101
127.5,8018107
127.75,8018110
128,8018116
128.25,8018121
128.5,8018134
128.75,8018141
129,8018145
129.25,8018150
129.5,8018154
129.75,8018159
130,8018163
130.25,8018166
130.5,8018169
130.75,8018176
131,8018181
131.25,8018185
131.5,8018187
131.75,8018190
132,8018194
132.25,8018198
132.5,8018200
132.75,8018203
133,8018207
133.25,8018209
133.5,8018214
133.75,8018215
134,8018217
134.25,8018221
134.5,8018223
134.75,8018226
135,8018227
135.25,8018228
135.5,8018232
135.75,8018232
136,8018233
136.25,8018238
136.5,8018242
136.75,8018242
137,8018245
137.25,8018246
137.5,8018250
137.75,8018252
138,8018253
138.25,8018255
138.5,8018256
138.75,8018256
139,8018258
139.25,8018261
139.5,8018262
139.75,8018264
140,8018265
140.25,8018267
140.5,8018267
140.75,8018268
141,8018269
141.25,8018270
141.5,8018272
141.75,8018273
142,8018274
142.25,8018274
142.5,8018275
142.75,8018276
143,8018276
143.25,8018276
143.5,8018276
143.75,8018276
144,8018277
144.25,8018277
144.5,8018280
144.75,8018280
145,8018280
145.25,8018282
145.5,8018282
145.75,8018283
146,8018283
146.25,8018283
146.5,8018284
146.75,8018285
147,8018285
147.25,8018285
147.5,8018287
147.75,8018287
148,8018287
148.25,8018287
148.5,8018288
148.75,8018288
149,8018288
149.25,8018289
149.5,8018290
149.75,8018292
150,8018293
150.25,8018293
150.5,8018295
150.75,8018295
151,8018295
151.25,8018295
151.5,8018296
151.75,8018296
152,8018297
152.25,8018297
152.5,8018298
152.75,8018298
153,8018298
153.25,8018299
