Time,num_fatalities
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,0
15.25,0
15.5,0
15.75,0
16,0
16.25,0
16.5,0
16.75,0
17,0
17.25,0
17.5,0
17.75,0
18,1
18.25,1
18.5,1
18.75,1
19,1
19.25,1
19.5,1
19.75,1
20,1
20.25,2
20.5,2
20.75,2
21,2
21.25,2
21.5,2
21.75,2
22,2
22.25,3
22.5,3
22.75,3
23,4
23.25,4
23.5,5
23.75,5
24,6
24.25,6
24.5,7
24.75,8
25,8
25.25,9
25.5,10
25.75,10
26,10
26.25,12
26.5,12
26.75,12
27,13
27.25,13
27.5,13
27.75,14
28,14
28.25,15
28.5,15
28.75,18
29,20
29.25,21
29.5,23
29.75,25
30,25
30.25,28
30.5,29
30.75,29
31,30
31.25,31
31.5,34
31.75,36
32,36
32.25,37
32.5,37
32.75,38
33,38
33.25,39
33.5,40
33.75,42
34,43
34.25,45
34.5,48
34.75,51
35,54
35.25,56
35.5,60
35.75,60
36,62
36.25,66
36.5,69
36.75,70
37,71
37.25,76
37.5,83
37.75,88
38,93
38.25,95
38.5,98
38.75,106
39,110
39.25,114
39.5,119
39.75,126
40,131
40.25,134
40.5,137
40.75,143
41,151
41.25,159
41.5,167
41.75,174
42,177
42.25,186
42.5,194
42.75,202
43,206
43.25,217
43.5,231
43.75,244
44,255
44.25,269
44.5,284
44.75,296
45,308
45.25,322
45.5,333
45.75,345
46,361
46.25,375
46.5,395
46.75,411
47,426
47.25,447
47.5,469
47.75,490
48,513
48.25,537
48.5,562
48.75,587
49,612
49.25,644
49.5,676
49.75,705
50,735
50.25,775
50.5,813
50.75,853
51,893
51.25,938
51.5,987
51.75,1022
52,1071
52.25,1121
52.5,1170
52.75,1213
53,1264
53.25,1329
53.5,1383
53.75,1457
54,1516
54.25,1570
54.5,1641
54.75,1711
55,1797
55.25,1871
55.5,1962
55.75,2031
56,2115
56.25,2196
56.5,2279
56.75,2375
57,2500
57.25,2610
57.5,2728
57.75,2832
58,2926
58.25,3053
58.5,3177
58.75,3311
59,3430
59.25,3582
59.5,3737
59.75,3892
60,4045
60.25,4196
60.5,4363
60.75,4533
61,4717
61.25,4878
61.5,5088
61.75,5273
62,5474
62.25,5668
62.5,5876
62.75,6088
63,6291
63.25,6514
63.5,6742
63.75,6965
64,7190
64.25,7434
64.5,7668
64.75,7912
65,8204
65.25,8489
65.5,8779
65.75,9074
66,9359
66.25,9673
66.5,10018
66.75,10328
67,10683
67.25,11021
67.5,11366
67.75,11671
68,12027
68.25,12342
68.5,12703
68.75,13046
69,13421
69.25,13810
69.5,14202
69.75,14551
70,14959
70.25,15399
70.5,15775
70.75,16201
71,16620
71.25,17000
71.5,17433
71.75,17867
72,18298
72.25,18743
72.5,19200
72.75,19644
73,20081
73.25,20541
73.5,20969
73.75,21411
74,21817
74.25,22239
74.5,22688
74.75,23159
75,23574
75.25,24054
75.5,24491
75.75,24931
76,25416
76.25,25868
76.5,26339
76.75,26782
77,27264
77.25,27694
77.5,28132
77.75,28583
78,29031
78.25,29476
78.5,29923
78.75,30362
79,30751
79.25,31149
79.5,31569
79.75,31972
80,32388
80.25,32761
80.5,33173
80.75,33552
81,33932
81.25,34317
81.5,34707
81.75,35083
82,35459
82.25,35830
82.5,36182
82.75,36528
83,36859
83.25,37223
83.5,37550
83.75,37872
84,38163
84.25,38506
84.5,38824
84.75,39140
85,39440
85.25,39749
85.5,40056
85.75,40337
86,40611
86.25,40874
86.5,41166
86.75,41423
87,41655
87.25,41899
87.5,42139
87.75,42404
88,42649
