Time,num_hospitalised
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,1
1.75,2
2,3
2.25,5
2.5,5
2.75,5
3,6
3.25,8
3.5,9
3.75,10
4,12
4.25,14
4.5,17
4.75,18
5,21
5.25,22
5.5,23
5.75,23
6,24
6.25,27
6.5,30
6.75,30
7,31
7.25,33
7.5,34
7.75,35
8,41
8.25,44
8.5,46
8.75,51
9,55
9.25,57
9.5,60
9.75,60
10,61
10.25,67
10.5,69
10.75,75
11,77
11.25,79
11.5,85
11.75,89
12,90
12.25,89
12.5,92
12.75,95
13,99
13.25,102
13.5,107
13.75,115
14,119
14.25,127
14.5,131
14.75,140
15,146
15.25,150
15.5,164
15.75,175
16,176
16.25,190
16.5,201
16.75,214
17,219
17.25,232
17.5,242
17.75,264
18,282
18.25,288
18.5,303
18.75,318
19,340
19.25,358
19.5,370
19.75,387
20,409
20.25,435
20.5,454
20.75,474
21,500
21.25,538
21.5,565
21.75,598
22,623
22.25,648
22.5,680
22.75,713
23,757
23.25,796
23.5,830
23.75,870
24,901
24.25,932
24.5,967
24.75,1020
25,1070
25.25,1116
25.5,1158
25.75,1203
26,1253
26.25,1315
26.5,1381
26.75,1450
27,1507
27.25,1572
27.5,1657
27.75,1736
28,1819
28.25,1874
28.5,1991
28.75,2089
29,2166
29.25,2267
29.5,2371
29.75,2462
30,2571
30.25,2704
30.5,2821
30.75,2939
31,3047
31.25,3185
31.5,3334
31.75,3465
32,3627
32.25,3795
32.5,3954
32.75,4146
33,4341
33.25,4531
33.5,4747
33.75,4976
34,5186
34.25,5417
34.5,5623
34.75,5883
35,6151
35.25,6385
35.5,6667
35.75,6930
36,7235
36.25,7533
36.5,7841
36.75,8114
37,8466
37.25,8817
37.5,9169
37.75,9536
38,9909
38.25,10350
38.5,10795
38.75,11261
39,11772
39.25,12233
39.5,12726
39.75,13212
40,13778
40.25,14333
40.5,14981
40.75,15516
41,16155
41.25,16836
41.5,17510
41.75,18177
42,18858
42.25,19598
42.5,20346
42.75,21128
43,21852
43.25,22736
43.5,23603
43.75,24539
44,25371
44.25,26307
44.5,27262
44.75,28318
45,29335
45.25,30278
45.5,31370
45.75,32458
46,33595
46.25,34753
46.5,35880
46.75,37073
47,38246
47.25,39448
47.5,40659
47.75,41958
48,43318
48.25,44535
48.5,45765
48.75,47140
49,48531
49.25,49836
49.5,51205
49.75,52538
50,53902
50.25,55221
50.5,56684
50.75,58151
51,59666
51.25,61034
51.5,62468
51.75,63847
52,65429
52.25,66756
52.5,68197
52.75,69588
53,71048
53.25,72532
53.5,73868
53.75,75114
54,76476
54.25,77745
54.5,79009
54.75,80270
55,81488
55.25,82706
55.5,83904
55.75,85050
56,85986
56.25,87160
56.5,88255
56.75,89205
57,89916
57.25,90822
57.5,91524
57.75,92389
58,93165
58.25,93812
58.5,94332
58.75,94914
59,95435
59.25,95900
59.5,96273
59.75,96667
60,96817
60.25,97189
60.5,97438
60.75,97534
61,97569
61.25,97646
61.5,97720
61.75,97737
62,97537
62.25,97252
62.5,97023
62.75,96732
63,96520
63.25,96030
63.5,95598
63.75,95192
64,94592
64.25,93993
64.5,93382
64.75,92729
65,92076
65.25,91357
65.5,90667
65.75,89833
66,88990
66.25,88307
66.5,87499
66.75,86433
67,85416
67.25,84525
67.5,83493
67.75,82347
68,81299
68.25,80255
68.5,79107
68.75,78121
69,76998
69.25,75945
69.5,74716
69.75,73576
70,72408
70.25,71375
70.5,70323
70.75,69072
71,67795
71.25,66748
71.5,65551
71.75,64351
72,63313
72.25,62170
72.5,61063
72.75,59915
73,58812
73.25,57666
73.5,56615
73.75,55539
74,54458
74.25,53216
74.5,52172
74.75,51136
75,50093
75.25,48993
75.5,47987
75.75,47129
76,46166
76.25,45102
76.5,44109
76.75,43045
77,42024
77.25,40951
77.5,40058
77.75,39117
78,38215
78.25,37265
78.5,36329
78.75,35503
79,34713
79.25,33852
79.5,33093
79.75,32265
80,31459
80.25,30685
80.5,29813
80.75,29062
81,28327
81.25,27608
81.5,26873
81.75,26091
82,25435
82.25,24835
82.5,24112
82.75,23523
83,22894
83.25,22295
83.5,21694
83.75,21049
