Time,num_infected
0,0
0.25,112
0.5,195
0.75,243
1,288
1.25,335
1.5,375
1.75,410
2,433
2.25,445
2.5,458
2.75,482
3,496
3.25,518
3.5,540
3.75,562
4,609
4.25,629
4.5,656
4.75,692
5,716
5.25,741
5.5,782
5.75,825
6,880
6.25,919
6.5,928
6.75,1005
7,1043
7.25,1092
7.5,1162
7.75,1223
8,1283
8.25,1358
8.5,1427
8.75,1483
9,1570
9.25,1638
9.5,1755
9.75,1894
10,1989
10.25,2097
10.5,2188
10.75,2298
11,2442
11.25,2583
11.5,2697
11.75,2827
12,2970
12.25,3082
12.5,3244
12.75,3389
13,3541
13.25,3696
13.5,3875
13.75,4004
14,4190
14.25,4417
14.5,4636
14.75,4887
15,5133
15.25,5419
15.5,5660
15.75,5901
16,6147
16.25,6464
16.5,6752
16.75,7048
17,7340
17.25,7644
17.5,8021
17.75,8374
18,8790
18.25,9149
18.5,9598
18.75,10091
19,10536
19.25,10969
19.5,11374
19.75,11959
20,12474
20.25,13019
20.5,13663
20.75,14247
21,14923
21.25,15469
21.5,16261
21.75,16990
22,17775
22.25,18549
22.5,19279
22.75,20180
23,21126
23.25,22155
23.5,23181
23.75,24147
24,25278
24.25,26338
24.5,27513
24.75,28810
25,30043
25.25,31364
25.5,32767
25.75,34215
26,35576
26.25,37048
26.5,38641
26.75,40451
27,42430
27.25,44333
27.5,46217
27.75,48203
28,50279
28.25,52407
28.5,54531
28.75,56839
29,59448
29.25,62032
29.5,64729
29.75,67600
30,70549
30.25,73595
30.5,76853
30.75,80032
31,83490
31.25,86925
31.5,90571
31.75,94479
32,98741
32.25,102788
32.5,107310
32.75,111745
33,116371
33.25,121602
33.5,126975
33.75,132444
34,137947
34.25,143578
34.5,149613
34.75,156111
35,162714
35.25,169741
35.5,176767
35.75,184321
36,191532
36.25,199520
36.5,207635
36.75,216440
37,225371
37.25,234387
37.5,243637
37.75,253607
38,263581
38.25,273732
38.5,284564
38.75,295718
39,307366
39.25,319218
39.5,331716
39.75,344680
40,357089
40.25,370704
40.5,384181
40.75,398098
41,412298
41.25,426688
41.5,441938
41.75,457113
42,472407
42.25,488116
42.5,504608
42.75,520990
43,538101
43.25,556036
43.5,573804
43.75,591584
44,609110
44.25,628340
44.5,646656
44.75,665383
45,684445
45.25,703234
45.5,722404
45.75,741618
46,761515
46.25,780795
46.5,800158
46.75,819473
47,838673
47.25,857737
47.5,876758
47.75,895390
48,913677
48.25,932644
48.5,951461
48.75,968964
49,986534
49.25,1003952
49.5,1022170
49.75,1038958
50,1054996
50.25,1071262
50.5,1085781
50.75,1100820
51,1114722
51.25,1128701
51.5,1141643
51.75,1153552
52,1165261
52.25,1175890
52.5,1185659
52.75,1194866
53,1203047
53.25,1211098
53.5,1218164
53.75,1223903
54,1229198
54.25,1233582
54.5,1238103
54.75,1240666
55,1242261
55.25,1244142
55.5,1244954
55.75,1244394
56,1243648
56.25,1241918
56.5,1239914
56.75,1236430
57,1231817
57.25,1226470
57.5,1220805
57.75,1214717
58,1207877
58.25,1200018
58.5,1191864
58.75,1183751
59,1174467
59.25,1165213
59.5,1154663
59.75,1143376
60,1131522
60.25,1119933
60.5,1108409
60.75,1096505
61,1083652
61.25,1070263
61.5,1057227
61.75,1043892
62,1029781
62.25,1016006
62.5,1001509
62.75,986653
63,971621
63.25,956942
63.5,942322
63.75,926808
64,911660
64.25,896791
64.5,881337
64.75,866320
65,851191
65.25,835589
65.5,820692
65.75,805561
66,790029
66.25,774658
66.5,759866
66.75,745286
67,730110
67.25,715318
67.5,700494
67.75,685927
68,671622
68.25,657295
68.5,642972
68.75,629035
69,615315
69.25,601307
69.5,587984
69.75,574992
70,561613
70.25,549005
70.5,536353
70.75,523955
71,511690
71.25,499590
71.5,487596
71.75,476088
72,464597
72.25,453389
72.5,441965
72.75,430843
73,420326
73.25,410044
73.5,399597
73.75,389701
74,379928
74.25,370309
74.5,360869
74.75,351616
75,342293
75.25,333340
75.5,324740
75.75,316147
76,307345
76.25,299093
76.5,291214
76.75,283503
77,275862
77.25,268242
77.5,261090
77.75,253905
78,246798
78.25,240131
78.5,233475
78.75,226990
79,220743
79.25,214683
79.5,208761
79.75,202684
80,196953
80.25,191503
80.5,186070
80.75,180758
81,175642
81.25,170659
81.5,165814
81.75,160943
82,156345
82.25,151813
82.5,147442
82.75,143440
83,139322
83.25,135294
83.5,131438
83.75,127670
84,123905
84.25,120302
84.5,116694
84.75,113245
85,110006
85.25,106821
85.5,103635
85.75,100501
86,97591
86.25,94690
86.5,91716
86.75,89080
87,86422
87.25,83769
87.5,81249
87.75,78917
88,76506
88.25,74109
88.5,71824
88.75,69624
89,67511
89.25,65389
89.5,63468
89.75,61553
90,59594
90.25,57823
90.5,56026
90.75,54265
91,52660
91.25,51061
91.5,49496
91.75,47963
92,46436
92.25,45027
92.5,43621
92.75,42289
93,41014
93.25,39782
93.5,38521
93.75,37277
94,36158
94.25,35071
94.5,33989
94.75,32960
95,31908
95.25,30875
95.5,29869
95.75,28894
96,28007
96.25,27135
96.5,26349
96.75,25469
97,24632
97.25,23880
97.5,23223
97.75,22473
98,21795
98.25,21101
98.5,20417
98.75,19800
99,19170
99.25,18559
99.5,18026
99.75,17494
100,16874
100.25,16339
100.5,15844
100.75,15368
101,14940
101.25,14434
101.5,13982
101.75,13492
102,13052
102.25,12648
102.5,12270
102.75,11838
103,11456
103.25,11089
103.5,10726
103.75,10402
104,10051
104.25,9747
104.5,9438
104.75,9119
105,8839
105.25,8558
105.5,8278
105.75,8023
106,7761
106.25,7549
106.5,7297
106.75,7060
107,6855
107.25,6630
107.5,6399
107.75,6241
108,6032
108.25,5839
108.5,5655
108.75,5501
109,5313
109.25,5132
109.5,4963
109.75,4809
110,4659
110.25,4502
110.5,4372
110.75,4222
111,4098
111.25,3959
111.5,3834
111.75,3703
112,3568
112.25,3453
112.5,3347
112.75,3210
113,3101
113.25,3001
113.5,2904
113.75,2798
114,2737
114.25,2666
114.5,2586
114.75,2517
115,2418
115.25,2345
115.5,2276
115.75,2208
116,2115
116.25,2071
116.5,2006
116.75,1945
117,1875
117.25,1813
117.5,1733
117.75,1686
118,1644
118.25,1586
118.5,1528
118.75,1467
119,1415
119.25,1363
119.5,1315
119.75,1283
120,1254
120.25,1210
120.5,1169
120.75,1119
121,1087
121.25,1064
121.5,1022
121.75,974
122,950
122.25,921
122.5,897
122.75,878
123,843
123.25,805
123.5,777
123.75,755
124,725
124.25,698
124.5,678
124.75,648
125,626
125.25,608
125.5,597
125.75,568
126,553
126.25,543
126.5,517
126.75,488
127,473
127.25,461
127.5,445
127.75,431
128,421
128.25,415
128.5,411
128.75,397
129,381
129.25,366
129.5,354
129.75,344
130,328
130.25,312
130.5,300
130.75,293
131,284
131.25,277
131.5,267
131.75,252
132,251
132.25,245
132.5,240
132.75,232
133,224
133.25,214
133.5,201
133.75,185
134,178
134.25,177
134.5,171
134.75,171
135,169
135.25,160
135.5,159
135.75,155
136,152
136.25,151
136.5,147
136.75,134
137,131
137.25,127
137.5,124
137.75,119
138,113
138.25,110
138.5,107
138.75,101
139,98
139.25,96
139.5,92
139.75,90
140,86
140.25,83
140.5,80
140.75,79
141,80
141.25,72
141.5,70
141.75,67
142,68
142.25,64
142.5,60
142.75,61
143,55
143.25,55
143.5,52
143.75,50
144,48
144.25,43
144.5,42
144.75,37
145,34
145.25,36
145.5,33
145.75,31
146,31
146.25,30
146.5,30
146.75,28
147,27
147.25,24
147.5,26
147.75,26
148,26
148.25,23
148.5,23
148.75,23
149,22
149.25,23
149.5,21
149.75,23
150,23
150.25,23
150.5,24
150.75,21
151,18
151.25,16
151.5,16
151.75,15
152,15
152.25,13
152.5,13
152.75,12
153,12
153.25,12
153.5,11
153.75,11
154,11
154.25,11
154.5,10
154.75,10
155,11
155.25,11
155.5,10
155.75,9
156,9
156.25,9
156.5,8
156.75,8
157,8
157.25,7
157.5,8
157.75,7
158,7
158.25,6
158.5,6
158.75,6
159,6
159.25,6
159.5,6
159.75,6
160,5
160.25,5
160.5,5
160.75,5
161,5
161.25,5
161.5,5
161.75,5
162,6
162.25,5
162.5,5
162.75,5
163,5
163.25,5
163.5,5
163.75,5
164,4
164.25,4
164.5,4
164.75,5
165,4
165.25,4
165.5,4
165.75,4
166,4
166.25,4
166.5,4
166.75,4
167,4
167.25,5
167.5,4
167.75,4
168,4
168.25,4
168.5,4
168.75,4
169,4
169.25,4
169.5,4
169.75,4
170,4
170.25,3
170.5,3
170.75,3
171,3
171.25,3
171.5,3
171.75,2
172,2
172.25,2
172.5,2
172.75,2
173,2
173.25,2
173.5,2
173.75,2
174,2
174.25,2
174.5,3
174.75,3
175,3
175.25,3
175.5,3
175.75,3
176,3
176.25,2
176.5,2
176.75,3
177,3
177.25,3
177.5,3
177.75,3
178,3
