Time,num_recovered
0,0
0.25,0
0.5,16
0.75,50
1,71
1.25,95
1.5,120
1.75,143
2,170
2.25,212
2.5,247
2.75,280
3,320
3.25,349
3.5,385
3.75,418
4,448
4.25,504
4.5,561
4.75,603
5,653
5.25,702
5.5,755
5.75,812
6,868
6.25,925
6.5,998
6.75,1061
7,1144
7.25,1228
7.5,1293
7.75,1370
8,1450
8.25,1536
8.5,1625
8.75,1722
9,1819
9.25,1942
9.5,2026
9.75,2138
10,2265
10.25,2392
10.5,2528
10.75,2688
11,2852
11.25,3017
11.5,3207
11.75,3383
12,3595
12.25,3818
12.5,4022
12.75,4262
13,4515
13.25,4759
13.5,5025
13.75,5334
14,5632
14.25,5936
14.5,6261
14.75,6578
15,6917
15.25,7269
15.5,7673
15.75,8095
16,8545
16.25,8974
16.5,9431
16.75,9930
17,10441
17.25,10969
17.5,11508
17.75,12042
18,12634
18.25,13277
18.5,13921
18.75,14607
19,15302
19.25,16008
19.5,16839
19.75,17617
20,18529
20.25,19422
20.5,20331
20.75,21350
21,22365
21.25,23453
21.5,24456
21.75,25592
22,26808
22.25,27996
22.5,29307
22.75,30660
23,32103
23.25,33552
23.5,35090
23.75,36762
24,38414
24.25,40207
24.5,42016
24.75,43919
25,45950
25.25,48106
25.5,50303
25.75,52697
26,55166
26.25,57673
26.5,60276
26.75,62930
27,65720
27.25,68684
27.5,71850
27.75,75119
28,78539
28.25,82140
28.5,85949
28.75,89835
29,93758
29.25,98034
29.5,102404
29.75,106943
30,111776
30.25,116827
30.5,122131
30.75,127719
31,133445
31.25,139444
31.5,145648
31.75,151915
32,158697
32.25,165719
32.5,172952
32.75,180626
33,188587
33.25,196717
33.5,205241
33.75,214267
34,223582
34.25,233372
34.5,243546
34.75,254077
35,265010
35.25,276405
35.5,288458
35.75,300756
36,313690
36.25,327042
36.5,341024
36.75,355660
37,370844
37.25,386645
37.5,403251
37.75,420242
38,438060
38.25,456485
38.5,475705
38.75,495599
39,516067
39.25,537264
39.5,558989
39.75,582023
40,606088
40.25,630946
40.5,656638
40.75,683161
41,710619
41.25,738992
41.5,768057
41.75,798543
42,830030
42.25,862395
42.5,896138
42.75,930650
43,966318
43.25,1002817
43.5,1040607
43.75,1079392
44,1119784
44.25,1160516
44.5,1202800
44.75,1246413
45,1291146
45.25,1337156
45.5,1384466
45.75,1432502
46,1481651
46.25,1532247
46.5,1584023
46.75,1636778
47,1690655
47.25,1745925
47.5,1802195
47.75,1859596
48,1918421
48.25,1978106
48.5,2038898
48.75,2101052
49,2163568
49.25,2226897
49.5,2290816
49.75,2355943
50,2422416
50.25,2488991
50.5,2557380
50.75,2625532
51,2694829
51.25,2764717
51.5,2835199
51.75,2906327
52,2977632
52.25,3049565
52.5,3122231
52.75,3195010
53,3268266
53.25,3341433
53.5,3414876
53.75,3488475
54,3562335
54.25,3635791
54.5,3709280
54.75,3783104
55,3856813
55.25,3929939
55.5,4002953
55.75,4076370
56,4149051
56.25,4221156
56.5,4292895
56.75,4364607
57,4435979
57.25,4507149
57.5,4577151
57.75,4646700
58,4715419
58.25,4783745
58.5,4851070
58.75,4917861
59,4984051
59.25,5048872
59.5,5113634
59.75,5177773
60,5240922
60.25,5302930
60.5,5363621
60.75,5423513
61,5483035
61.25,5541866
61.5,5598944
61.75,5655389
62,5711302
62.25,5765808
62.5,5819645
62.75,5872855
63,5924955
63.25,5975823
63.5,6025725
63.75,6075197
64,6123359
64.25,6170191
64.5,6216549
64.75,6261799
65,6305990
65.25,6349420
65.5,6391878
65.75,6433635
66,6474524
66.25,6514414
66.5,6553240
66.75,6591192
67,6628749
67.25,6665323
67.5,6701126
67.75,6736026
68,6770043
68.25,6803001
68.5,6835568
68.75,6867112
69,6897960
69.25,6928274
69.5,6957361
69.75,6985912
70,7013908
70.25,7040948
70.5,7067389
70.75,7092873
71,7117913
71.25,7142429
71.5,7166292
71.75,7189407
72,7211727
72.25,7233689
72.5,7255307
72.75,7276132
73,7296137
73.25,7315605
73.5,7334715
73.75,7353075
74,7371238
74.25,7388740
74.5,7405861
74.75,7422411
75,7438805
75.25,7454636
75.5,7469825
75.75,7484686
76,7499321
