Time,susceptible_lambda_H
0,0
0.25,0
0.5,181.535
0.75,260.777
1,224.755
1.25,217.133
1.5,241.183
1.75,174.995
2,155.067
2.25,142.973
2.5,191.176
2.75,137.834
3,150.824
3.25,175.316
3.5,168.477
3.75,152.264
4,180.044
4.25,169.667
4.5,246.31
4.75,234.55
5,255.826
5.25,221.473
5.5,199.13
5.75,236.66
6,201.958
6.25,231.685
6.5,228.297
6.75,191.434
7,241.225
7.25,351.096
7.5,311.824
7.75,298.312
8,340.73
8.25,435.097
8.5,404.238
8.75,493.12
9,453.019
9.25,453.119
9.5,428.653
9.75,436.639
10,575.479
10.25,508.594
10.5,538.836
10.75,569.74
11,644.059
11.25,710.343
11.5,748.786
11.75,825.868
12,928.28
12.25,795.077
12.5,879.266
12.75,954.491
13,1035.04
13.25,1035.37
13.5,1148.02
13.75,1099.56
14,1127.24
14.25,1201.63
14.5,1239.63
14.75,1338.56
15,1483.13
15.25,1626.58
15.5,1610.42
15.75,1659.27
16,1596.2
16.25,1696.42
16.5,1760.04
16.75,2064.22
17,1968.41
17.25,1974.85
17.5,1796.45
17.75,2117.74
18,2020.97
18.25,2462.4
18.5,2339.11
18.75,2517.63
19,2386.69
19.25,2761.92
19.5,2753.91
19.75,3170.96
20,3183.55
20.25,3230.34
20.5,3479.85
20.75,3919.83
21,3799.59
21.25,3986.11
21.5,4010.57
21.75,4276.23
22,4526.6
22.25,4820.67
22.5,4790.91
22.75,4987.82
23,5324.46
23.25,5548.24
23.5,5876.56
23.75,6012.94
24,6511.81
24.25,6745.87
24.5,6819.36
24.75,7176.75
25,7710.59
25.25,7844.69
25.5,8368.02
25.75,8591.36
26,9070.72
26.25,9086.39
26.5,9857.41
26.75,10272.6
27,10840.8
27.25,10979.5
27.5,11213.1
27.75,11955.6
28,12617.6
28.25,12903.2
28.5,13707.2
28.75,13752.4
29,14315.7
29.25,15099.9
29.5,15591.3
29.75,16857.1
30,17768.9
30.25,18057.3
30.5,18297.7
30.75,19409.9
31,20296.2
31.25,20878.1
31.5,21702.8
31.75,22638
32,23414.1
32.25,24762.1
32.5,25423.9
32.75,26366.8
33,26943.3
33.25,28969.7
33.5,30089.4
33.75,30980
34,32196.6
34.25,33527.1
34.5,34723.3
34.75,35620.6
35,37809.3
35.25,38959
35.5,40858
35.75,42582.9
36,43965.7
36.25,45004.4
36.5,46489.8
36.75,48259.2
37,49837.8
37.25,51847
37.5,54427
37.75,56124.8
38,57126.4
38.25,60784.2
38.5,60859.7
38.75,62583.7
39,65147.4
39.25,67060.6
39.5,69389.8
39.75,71127.6
40,73292.6
40.25,75210
40.5,76526.7
40.75,79472.3
41,81152.2
41.25,82727.6
41.5,85109.5
41.75,86947.7
42,87926.5
42.25,89845.9
42.5,92231.3
42.75,94686.2
43,95426.1
43.25,98609.7
43.5,101350
43.75,102175
44,103037
44.25,105129
44.5,106280
44.75,107012
45,107948
45.25,108936
45.5,110959
45.75,112734
46,113131
46.25,113623
46.5,114010
46.75,115148
47,115728
47.25,116394
47.5,117550
47.75,117481
48,115885
48.25,116334
48.5,116207
48.75,116854
49,117181
49.25,116256
49.5,116573
49.75,115559
50,114509
50.25,113579
50.5,111798
50.75,111532
51,110468
51.25,109063
51.5,108208
51.75,105920
52,104165
52.25,103976
52.5,102185
52.75,100399
53,99251.7
53.25,97575.9
53.5,96141
53.75,95251.5
54,91598.5
54.25,91312.7
54.5,88689.2
54.75,88619.2
55,85607.6
55.25,82608.7
55.5,81899
55.75,80260.5
56,78329.6
56.25,75956.3
56.5,74898.7
56.75,72476.5
57,71710.8
57.25,69264.5
57.5,66869.8
57.75,65804.9
58,65032.8
58.25,63234.6
58.5,60609.1
58.75,58988.7
59,57816.3
59.25,56709.2
59.5,55228.1
59.75,53543.8
60,51624.5
60.25,49508.4
60.5,48075.4
60.75,46917.4
61,45605.9
61.25,43823.7
61.5,42931.8
61.75,41579.9
62,40936.5
62.25,39224.2
62.5,37254.3
62.75,36225.8
63,35043.3
63.25,34851
63.5,33731.7
63.75,32761.5
64,31285.4
64.25,30495.6
64.5,29230.2
64.75,28801.1
65,27814.3
65.25,26439.3
65.5,26158
