Time,susceptible_lambda_W
0,0
0.25,0
0.5,64.8656
0.75,125.11
1,170.305
1.25,209.497
1.5,270.373
1.75,275.122
2,288.456
2.25,286.598
2.5,329.052
2.75,339.867
3,329.913
3.25,344.335
3.5,394.088
3.75,412.629
4,444.459
4.25,452.484
4.5,449.943
4.75,485.722
5,490.909
5.25,542.931
5.5,598.318
5.75,623.623
6,624.374
6.25,672.972
6.5,668.872
6.75,677.059
7,713.239
7.25,779.609
7.5,867.818
7.75,919.673
8,954.861
8.25,1019.01
8.5,1046.79
8.75,1095.4
9,1132.62
9.25,1166.8
9.5,1232.33
9.75,1284.32
10,1350.95
10.25,1426.69
10.5,1498.14
10.75,1524.57
11,1619.18
11.25,1708.24
11.5,1800.28
11.75,1873.98
12,1894.91
12.25,1936.39
12.5,2014.8
12.75,2099.27
13,2199.23
13.25,2329.65
13.5,2443.35
13.75,2520.11
14,2597.7
14.25,2628.03
14.5,2664.06
14.75,2785.06
15,3048.75
15.25,3160.06
15.5,3300.59
15.75,3512.97
16,3603.65
16.25,3754.63
16.5,3964.15
16.75,4185.54
17,4341
17.25,4554.65
17.5,4676.62
17.75,4919.24
18,5015.7
18.25,5295.27
18.5,5545.52
18.75,5772.45
19,5953.53
19.25,6425.51
19.5,6527.68
19.75,6762.17
20,7036.5
20.25,7309.2
20.5,7721.87
20.75,8067.23
21,8376.87
21.25,8721.98
21.5,9112.94
21.75,9403.18
22,9802.15
22.25,10214.4
22.5,10649.7
22.75,11081.6
23,11657
23.25,12203.4
23.5,12878.8
23.75,13434.3
24,14173.8
24.25,14876.2
24.5,15220.2
24.75,15809.8
25,16314
25.25,16791.4
25.5,17694.9
25.75,18416.3
26,19576.3
26.25,20311.3
26.5,21271.9
26.75,22226.2
27,23157.9
27.25,24380.6
27.5,25420.1
27.75,26485.8
28,27560.4
28.25,28652.3
28.5,29733
28.75,30914
29,32354.3
29.25,33725.2
29.5,35066
29.75,36696.4
30,38355.8
30.25,39996.5
30.5,41536.5
30.75,43503.3
31,45083
31.25,47067.3
31.5,48785.3
31.75,50975
32,52844.4
32.25,55019.1
32.5,57154.4
32.75,59738.2
33,61626.5
33.25,63676.9
33.5,66221.3
33.75,68840.2
34,71820.8
34.25,74830.9
34.5,77811.3
34.75,80001.9
35,82762.2
35.25,86289.9
35.5,89759.8
35.75,92975.8
36,95794.4
36.25,99012.6
36.5,102031
36.75,105075
37,108292
37.25,111676
37.5,115233
37.75,119282
38,122736
38.25,126363
38.5,129270
38.75,132655
39,136159
39.25,140177
39.5,144020
39.75,147478
40,150840
40.25,154258
40.5,157947
40.75,161707
41,165456
41.25,169161
41.5,172620
41.75,175036
42,177869
42.25,180709
42.5,183017
42.75,186180
43,188307
43.25,190907
43.5,193838
43.75,195983
44,197770
44.25,199997
44.5,201358
44.75,202181
45,203251
45.25,203649
45.5,204778
45.75,204806
46,205232
46.25,204895
46.5,204164
46.75,204018
47,203523
47.25,202545
47.5,201158
47.75,199519
48,197548
48.25,195204
48.5,192454
48.75,190316
49,188166
49.25,185158
49.5,182812
49.75,180153
50,176795
50.25,173948
50.5,170107
50.75,166664
51,162647
51.25,158909
51.5,155199
51.75,150866
52,147197
52.25,143473
52.5,139515
52.75,135759
53,131545
53.25,127497
53.5,123689
53.75,119967
54,115969
54.25,112025
54.5,108295
54.75,104159
55,100670
55.25,96879.2
55.5,93409
55.75,89571.3
56,86237.5
56.25,83009.1
56.5,79716
56.75,76634.2
57,73430.2
57.25,70182.6
57.5,67158.9
57.75,64549.3
58,62016.8
58.25,59557
58.5,56871.7
58.75,54480.7
59,52316.9
59.25,50100.3
59.5,47978
59.75,45835.9
60,43622.1
60.25,41676.3
60.5,39907.4
60.75,38105
61,36399.1
61.25,34700.3
61.5,33205.5
61.75,31706.8
62,30264.5
62.25,28976.9
62.5,27648.5
62.75,26291
63,25057.9
63.25,23849.2
63.5,22827.4
63.75,21936.5
64,20838
64.25,19894.2
64.5,18942
64.75,18091.5
65,17292.4
65.25,16508.9
65.5,15866.3
65.75,15188
66,14458.7
66.25,13773.9
66.5,13207.1
66.75,12549.4
67,12057.8
67.25,11619.1
67.5,11139.5
