Time,total_fraction_lambda_C
0,-nan
0.25,-nan
0.5,-nan
0.75,1.03264e-05
1,6.61435e-06
1.25,1.86924e-05
1.5,4.6124e-05
1.75,5.00971e-05
2,2.93678e-05
2.25,4.07158e-05
2.5,6.24507e-05
2.75,3.25959e-05
3,0.000111182
3.25,4.93063e-05
3.5,5.12237e-05
3.75,7.54771e-05
4,9.67593e-05
4.25,0.000122537
4.5,3.66354e-05
4.75,3.08557e-05
5,3.02901e-05
5.25,5.12837e-05
5.5,5.78261e-05
5.75,0.000126929
6,7.48361e-05
6.25,6.36364e-05
6.5,6.33262e-05
6.75,7.81804e-05
7,0.000132005
7.25,8.08724e-05
7.5,9.67871e-05
7.75,0.000119886
8,9.44902e-05
8.25,0.000100261
8.5,5.74742e-05
8.75,0.000111579
9,0.000102428
9.25,0.000104382
9.5,8.72003e-05
9.75,0.000108985
10,0.000134036
10.25,0.000103462
10.5,0.000127527
10.75,0.000113074
11,0.000153108
11.25,0.000145908
11.5,0.000146914
11.75,0.000172668
12,0.000151523
12.25,0.000133938
12.5,0.000173421
12.75,0.000156061
13,0.000170057
13.25,0.000176369
13.5,0.000223233
13.75,0.000176718
14,0.000210823
14.25,0.000206022
14.5,0.000221366
14.75,0.000267742
15,0.000211731
15.25,0.000268243
15.5,0.00022642
15.75,0.000255691
16,0.000283852
16.25,0.000301028
16.5,0.000293485
16.75,0.000342429
17,0.000301992
17.25,0.000334231
17.5,0.000361466
17.75,0.000478499
18,0.000423659
18.25,0.000477069
18.5,0.000422168
18.75,0.000497687
19,0.00043594
19.25,0.00056597
19.5,0.000548519
19.75,0.000597739
20,0.000542204
20.25,0.000530936
20.5,0.000633732
20.75,0.0006536
21,0.000645817
21.25,0.000774243
21.5,0.000754122
21.75,0.000814396
22,0.000833768
22.25,0.000839899
22.5,0.000842418
22.75,0.000930382
23,0.000965504
23.25,0.000983084
23.5,0.0010414
23.75,0.00111094
24,0.00118479
24.25,0.00116435
24.5,0.00130541
24.75,0.0013875
25,0.00143112
25.25,0.00139943
25.5,0.00150893
25.75,0.00154433
26,0.00150358
26.25,0.00165381
26.5,0.0018603
26.75,0.00180336
27,0.00189646
27.25,0.00190332
27.5,0.00202793
27.75,0.00221971
28,0.0022882
28.25,0.00232537
28.5,0.00246157
28.75,0.00243415
29,0.00265728
29.25,0.00279341
29.5,0.00292047
29.75,0.00306732
30,0.0031051
30.25,0.00309914
30.5,0.00336846
30.75,0.00367855
31,0.00383112
31.25,0.00390827
31.5,0.00410003
31.75,0.00411818
32,0.00433822
32.25,0.00455098
32.5,0.00474445
32.75,0.00498483
33,0.00519109
33.25,0.00557494
33.5,0.00540649
33.75,0.00579863
34,0.00601371
34.25,0.00623007
34.5,0.0063994
34.75,0.00666913
35,0.00716098
35.25,0.00714516
35.5,0.00755776
35.75,0.00769205
36,0.00795564
36.25,0.0082809
36.5,0.00873576
36.75,0.00907502
37,0.00943059
37.25,0.00973576
37.5,0.0100143
37.75,0.0100061
38,0.0105349
38.25,0.0113493
38.5,0.0110206
38.75,0.0117688
39,0.0122796
39.25,0.0122536
39.5,0.012844
39.75,0.0131598
40,0.0135049
40.25,0.0141514
40.5,0.0141859
40.75,0.014979
41,0.0151877
41.25,0.0155728
41.5,0.0163551
41.75,0.0166382
42,0.0172219
42.25,0.017829
42.5,0.0181795
42.75,0.0183351
43,0.0185512
43.25,0.0192043
43.5,0.0196909
43.75,0.0196448
44,0.0202244
44.25,0.0209355
44.5,0.0211979
44.75,0.0216557
45,0.0221742
45.25,0.0224343
45.5,0.0231717
45.75,0.0232092
46,0.0231921
46.25,0.0238895
46.5,0.0243583
46.75,0.0246961
47,0.0249034
47.25,0.0250681
47.5,0.0256353
47.75,0.0251279
48,0.0255693
48.25,0.0261761
48.5,0.0263357
48.75,0.0268249
49,0.0267904
49.25,0.0264358
49.5,0.0269128
49.75,0.0266991
50,0.026891
50.25,0.0270736
50.5,0.0271204
50.75,0.0276493
51,0.0274925
51.25,0.027238
51.5,0.0269909
51.75,0.0271557
52,0.0276099
52.25,0.0277723
52.5,0.0272843
52.75,0.026925
53,0.0268451
53.25,0.0267194
53.5,0.0263723
53.75,0.0263808
54,0.0254825
54.25,0.0267565
54.5,0.0256193
54.75,0.026011
55,0.0249891
55.25,0.0253659
55.5,0.0254396
55.75,0.024498
56,0.0245356
56.25,0.0246493
56.5,0.0245096
56.75,0.0238293
57,0.0241335
57.25,0.023136
57.5,0.0229465
57.75,0.0231548
58,0.0224413
58.25,0.0218303
58.5,0.0214908
58.75,0.0215064
59,0.0214584
59.25,0.0212616
59.5,0.020476
59.75,0.0201978
60,0.0196709
60.25,0.019559
60.5,0.0197189
60.75,0.0192632
61,0.0188396
61.25,0.0184546
61.5,0.0184673
61.75,0.0178413
62,0.0172637
62.25,0.0164769
62.5,0.01659
62.75,0.0171106
63,0.0164126
63.25,0.0162933
63.5,0.0154467
63.75,0.0153348
64,0.0146377
64.25,0.0148529
64.5,0.0143653
64.75,0.0146612
65,0.0138779
65.25,0.0132403
65.5,0.0136697
65.75,0.0126739
66,0.0128787
66.25,0.0128385
66.5,0.0124078
66.75,0.0124787
67,0.0114001
67.25,0.0117616
67.5,0.0110022
67.75,0.0102169
68,0.0113427
68.25,0.0105071
68.5,0.00987853
68.75,0.0108705
69,0.00986487
69.25,0.00994838
69.5,0.01025
69.75,0.0092154
70,0.00879994
70.25,0.00814042
70.5,0.00852892
70.75,0.00835932
71,0.00794811
71.25,0.00841954
71.5,0.00802249
71.75,0.00780643
72,0.00788053
72.25,0.00684088
72.5,0.00744261
72.75,0.00719059
73,0.00653006
73.25,0.00661755
73.5,0.00656114
73.75,0.00630218
74,0.00641018
74.25,0.00608327
74.5,0.00576955
74.75,0.00581346
75,0.00593129
75.25,0.00558248
75.5,0.00499912
75.75,0.00534619
76,0.00507644
76.25,0.00470687
76.5,0.00458364
76.75,0.00477298
77,0.00451411
