Time,total_fraction_lambda_H
0,-nan
0.25,-nan
0.5,-nan
0.75,0.990973
1,0.984677
1.25,0.955191
1.5,0.955817
1.75,0.93864
2,0.948526
2.25,0.930167
2.5,0.93505
2.75,0.938907
3,0.857615
3.25,0.905349
3.5,0.958094
3.75,0.90224
4,0.881048
4.25,0.824373
4.5,0.91645
4.75,0.934306
5,0.93254
5.25,0.921158
5.5,0.911344
5.75,0.909884
6,0.912785
6.25,0.840915
6.5,0.853562
6.75,0.882605
7,0.800207
7.25,0.865081
7.5,0.946435
7.75,0.885855
8,0.863384
8.25,0.885597
8.5,0.871426
8.75,0.844803
9,0.841727
9.25,0.847481
9.5,0.878974
9.75,0.85599
10,0.812315
10.25,0.891699
10.5,0.864181
10.75,0.849325
11,0.847149
11.25,0.848269
11.5,0.854503
11.75,0.862659
12,0.858086
12.25,0.87959
12.5,0.846175
12.75,0.863577
13,0.882366
13.25,0.885905
13.5,0.874928
13.75,0.888587
14,0.887922
14.25,0.868484
14.5,0.880822
14.75,0.872851
15,0.898656
15.25,0.867747
15.5,0.911637
15.75,0.891864
16,0.879907
16.25,0.873776
16.5,0.896526
16.75,0.871907
17,0.897918
17.25,0.896874
17.5,0.882573
17.75,0.840595
18,0.882376
18.25,0.858448
18.5,0.889932
18.75,0.867498
19,0.883301
19.25,0.867352
19.5,0.883695
19.75,0.883916
20,0.878828
20.25,0.886509
20.5,0.882928
20.75,0.879796
21,0.89752
21.25,0.879842
21.5,0.875909
21.75,0.872586
22,0.875218
22.25,0.878778
22.5,0.885373
22.75,0.872712
23,0.882954
23.25,0.88189
23.5,0.87799
23.75,0.879511
24,0.876887
24.25,0.878926
24.5,0.878504
24.75,0.870541
25,0.874168
25.25,0.875163
25.5,0.877853
25.75,0.884996
26,0.889063
26.25,0.884852
26.5,0.869888
26.75,0.882379
27,0.878874
27.25,0.888138
27.5,0.883013
27.75,0.871718
28,0.874554
28.25,0.879009
28.5,0.871764
28.75,0.880384
29,0.868068
29.25,0.869617
29.5,0.87162
29.75,0.871302
30,0.876523
30.25,0.877516
30.5,0.873364
30.75,0.869263
31,0.872262
31.25,0.872431
31.5,0.871244
31.75,0.874481
32,0.869493
32.25,0.867932
32.5,0.866094
32.75,0.865355
33,0.862321
33.25,0.858856
33.5,0.865773
33.75,0.859083
34,0.858297
34.25,0.853391
34.5,0.85613
34.75,0.850755
35,0.848251
35.25,0.853527
35.5,0.85058
35.75,0.849318
36,0.851772
36.25,0.850117
36.5,0.845623
36.75,0.845423
37,0.841071
37.25,0.840742
37.5,0.840385
37.75,0.846511
38,0.841404
38.25,0.834148
38.5,0.844071
38.75,0.834785
39,0.831004
39.25,0.831859
39.5,0.828182
39.75,0.827245
40,0.826502
40.25,0.825167
40.5,0.824251
40.75,0.818075
41,0.819292
41.25,0.818001
41.5,0.813831
41.75,0.81018
42,0.810048
42.25,0.805816
42.5,0.803522
42.75,0.806061
43,0.806429
43.25,0.801051
43.5,0.799354
43.75,0.803672
44,0.799263
44.25,0.795827
44.5,0.794218
44.75,0.792354
45,0.790069
45.25,0.785988
45.5,0.78345
45.75,0.783942
46,0.787897
46.25,0.784681
46.5,0.781331
46.75,0.78198
47,0.780804
47.25,0.779054
47.5,0.776953
47.75,0.781103
48,0.778942
48.25,0.772394
48.5,0.773787
48.75,0.772919
49,0.775312
49.25,0.777013
49.5,0.774729
49.75,0.77988
50,0.776262
50.25,0.775893
50.5,0.774426
50.75,0.771372
51,0.773505
51.25,0.776497
51.5,0.775115
51.75,0.777155
52,0.77808
52.25,0.772338
52.5,0.777951
52.75,0.779745
53,0.779195
53.25,0.783433
53.5,0.782923
53.75,0.784838
54,0.792035
54.25,0.781879
54.5,0.791538
54.75,0.786422
55,0.798686
55.25,0.795044
55.5,0.792559
55.75,0.797693
56,0.800747
56.25,0.804453
56.5,0.802308
56.75,0.804619
57,0.80423
57.25,0.812341
57.5,0.812281
57.75,0.813019
58,0.816882
58.25,0.82041
58.5,0.821956
58.75,0.822298
59,0.823335
59.25,0.825474
59.5,0.834599
59.75,0.833104
60,0.833107
60.25,0.836447
60.5,0.837913
60.75,0.835634
61,0.842041
61.25,0.843096
61.5,0.843958
61.75,0.846477
62,0.851937
62.25,0.860589
62.5,0.857431
62.75,0.84967
63,0.857834
63.25,0.85795
63.5,0.867636
63.75,0.868575
64,0.865867
64.25,0.868949
64.5,0.873473
64.75,0.869602
65,0.878757
65.25,0.879247
65.5,0.876056
65.75,0.882089
66,0.87977
66.25,0.87919
66.5,0.889435
66.75,0.875714
67,0.887751
67.25,0.884596
67.5,0.890373
67.75,0.892601
68,0.886143
68.25,0.89019
68.5,0.899922
68.75,0.888708
69,0.892036
69.25,0.89866
69.5,0.885164
69.75,0.901565
70,0.901485
70.25,0.903025
70.5,0.898737
70.75,0.899517
71,0.905299
71.25,0.897363
71.5,0.902537
71.75,0.904413
72,0.90324
72.25,0.913409
72.5,0.907923
72.75,0.909732
73,0.924171
73.25,0.909891
73.5,0.906472
73.75,0.904694
74,0.915639
74.25,0.909297
74.5,0.917598
74.75,0.906989
75,0.90988
75.25,0.911549
75.5,0.923178
75.75,0.910285
76,0.92156
76.25,0.926463
76.5,0.922746
76.75,0.91934
77,0.917028
77.25,0.913346
77.5,0.92076
77.75,0.922193
78,0.909839
78.25,0.915123
78.5,0.90961
78.75,0.899625
79,0.914561
79.25,0.913588
79.5,0.909062
79.75,0.901399
80,0.926842
80.25,0.926719
80.5,0.926888
80.75,0.92004
81,0.904981
81.25,0.920026
81.5,0.930716
81.75,0.911614
82,0.933103
82.25,0.912673
82.5,0.898025
82.75,0.917302
83,0.917584
83.25,0.91939
83.5,0.92416
83.75,0.940132
84,0.920238
84.25,0.92116
84.5,0.920763
84.75,0.923213
85,0.938598
85.25,0.943697
85.5,0.936137
85.75,0.939652
86,0.942224
86.25,0.945604
86.5,0.935298
86.75,0.935054
87,0.920054
