Time,total_fraction_lambda_W
0,-nan
0.25,-nan
0.5,-nan
0.75,0.00901699
1,0.0153168
1.25,0.0447898
1.5,0.0441371
1.75,0.0613104
2,0.051445
2.25,0.0697926
2.5,0.0648875
2.75,0.0610606
3,0.142273
3.25,0.0946014
3.5,0.0418552
3.75,0.0976842
4,0.118855
4.25,0.175504
4.5,0.0835137
4.75,0.0656633
5,0.0674301
5.25,0.0787911
5.5,0.0885977
5.75,0.0899893
6,0.0871404
6.25,0.159021
6.5,0.146375
6.75,0.117316
7,0.199661
7.25,0.134838
7.5,0.0534687
7.75,0.114025
8,0.136522
8.25,0.114303
8.5,0.128517
8.75,0.155086
9,0.15817
9.25,0.152415
9.5,0.120939
9.75,0.143901
10,0.187551
10.25,0.108198
10.5,0.135692
10.75,0.150562
11,0.152698
11.25,0.151585
11.5,0.14535
11.75,0.137169
12,0.141763
12.25,0.120277
12.5,0.153652
12.75,0.136267
13,0.117464
13.25,0.113918
13.5,0.124848
13.75,0.111237
14,0.111867
14.25,0.13131
14.5,0.118956
14.75,0.126881
15,0.101133
15.25,0.131985
15.5,0.0881368
15.75,0.10788
16,0.119809
16.25,0.125923
16.5,0.103181
16.75,0.12775
17,0.10178
17.25,0.102791
17.5,0.117065
17.75,0.158927
18,0.1172
18.25,0.141075
18.5,0.109646
18.75,0.132004
19,0.116263
19.25,0.132083
19.5,0.115756
19.75,0.115486
20,0.12063
20.25,0.11296
20.5,0.116438
20.75,0.11955
21,0.101834
21.25,0.119383
21.5,0.123337
21.75,0.126599
22,0.123948
22.25,0.120382
22.5,0.113785
22.75,0.126358
23,0.11608
23.25,0.117127
23.5,0.120969
23.75,0.119378
24,0.121929
24.25,0.119909
24.5,0.120191
24.75,0.128072
25,0.124401
25.25,0.123438
25.5,0.120638
25.75,0.113459
26,0.109434
26.25,0.113494
26.5,0.128252
26.75,0.115818
27,0.119229
27.25,0.109959
27.5,0.114959
27.75,0.126062
28,0.123157
28.25,0.118666
28.5,0.125774
28.75,0.117182
29,0.129275
29.25,0.12759
29.5,0.12546
29.75,0.12563
30,0.120372
30.25,0.119385
30.5,0.123268
30.75,0.127058
31,0.123907
31.25,0.123661
31.5,0.124656
31.75,0.121401
32,0.126169
32.25,0.127517
32.5,0.129161
32.75,0.12966
33,0.132488
33.25,0.135569
33.5,0.128821
33.75,0.135118
34,0.135689
34.25,0.140379
34.5,0.13747
34.75,0.142576
35,0.144588
35.25,0.139328
35.5,0.141862
35.75,0.14299
36,0.140273
36.25,0.141602
36.5,0.145641
36.75,0.145502
37,0.149498
37.25,0.149522
37.5,0.1496
37.75,0.143482
38,0.148061
38.25,0.154503
38.5,0.144908
38.75,0.153446
39,0.156717
39.25,0.155888
39.5,0.158974
39.75,0.159595
40,0.159993
40.25,0.160681
40.5,0.161563
40.75,0.166946
41,0.16552
41.25,0.166426
41.5,0.169814
41.75,0.173182
42,0.17273
42.25,0.176355
42.5,0.178299
42.75,0.175604
43,0.17502
43.25,0.179744
43.5,0.180955
43.75,0.176683
44,0.180512
44.25,0.183237
44.5,0.184584
44.75,0.185991
45,0.187757
45.25,0.191577
45.5,0.193378
45.75,0.192849
46,0.188911
46.25,0.19143
46.5,0.19431
46.75,0.193324
47,0.194293
47.25,0.195878
47.5,0.197412
47.75,0.193769
48,0.195488
48.25,0.20143
48.5,0.199877
48.75,0.200256
49,0.197898
49.25,0.196552
49.5,0.198358
49.75,0.193421
50,0.196847
50.25,0.197033
50.5,0.198454
50.75,0.200979
51,0.199003
51.25,0.196265
51.5,0.197895
51.75,0.195689
52,0.19431
52.25,0.19989
52.5,0.194765
52.75,0.19333
53,0.19396
53.25,0.189848
53.5,0.190704
53.75,0.188781
54,0.182483
54.25,0.191364
54.5,0.182843
54.75,0.187567
55,0.176325
55.25,0.17959
55.5,0.182002
55.75,0.177809
56,0.174718
56.25,0.170898
56.5,0.173183
56.75,0.171551
57,0.171636
57.25,0.164523
57.5,0.164772
57.75,0.163826
58,0.160677
58.25,0.157759
58.5,0.156553
58.75,0.156196
59,0.155207
59.25,0.153264
59.5,0.144925
59.75,0.146698
60,0.147222
60.25,0.143994
60.5,0.142368
60.75,0.145103
61,0.13912
61.25,0.13845
61.5,0.137575
61.75,0.135682
62,0.130799
62.25,0.122934
62.5,0.125979
62.75,0.13322
63,0.125753
63.25,0.125757
63.5,0.116918
63.75,0.11609
64,0.119495
64.25,0.116198
64.5,0.112162
64.75,0.115736
65,0.107365
65.25,0.107512
65.5,0.110274
65.75,0.105237
66,0.107351
66.25,0.107972
66.5,0.0981572
66.75,0.111808
67,0.100849
67.25,0.103643
67.5,0.0986249
67.75,0.0971821
68,0.102514
68.25,0.0993033
68.5,0.0901991
68.75,0.100422
69,0.0980989
69.25,0.0913919
69.5,0.104586
69.75,0.0892199
70,0.0897147
70.25,0.0888346
70.5,0.0927338
70.75,0.0921241
71,0.0867532
71.25,0.0942179
71.5,0.0894404
71.75,0.0877811
72,0.088879
72.25,0.07975
72.5,0.0846345
72.75,0.0830777
73,0.0692987
73.25,0.0834918
73.5,0.0869667
73.75,0.0890037
74,0.0779505
74.25,0.0846194
74.5,0.076632
74.75,0.0871979
75,0.0841886
75.25,0.0828681
75.5,0.0718229
75.75,0.0843692
76,0.0733632
76.25,0.0688302
76.5,0.0726709
76.75,0.0758874
77,0.0784582
77.25,0.0820395
77.5,0.0752264
77.75,0.07374
78,0.0862346
78.25,0.0810078
78.5,0.0864301
78.75,0.0960351
79,0.0813263
79.25,0.0828507
79.5,0.0877886
79.75,0.0954607
80,0.0697652
80.25,0.0704328
80.5,0.0701602
80.75,0.0769175
81,0.0915076
81.25,0.0769861
81.5,0.0666852
81.75,0.0854867
82,0.0641381
82.25,0.0842157
82.5,0.0990984
82.75,0.0800594
83,0.0803054
83.25,0.0783596
83.5,0.0733442
83.75,0.0577226
84,0.077313
84.25,0.0766125
84.5,0.077194
84.75,0.0748594
