Time,ward_infected
0,703874
0.25,502039
0.5,654890
0.75,644437
1,1211285
1.25,424878
1.5,1695001
1.75,1400206
2,250756
2.25,1289647
2.5,734453
2.75,435109
3,164926
3.25,1077480
3.5,498706
3.75,1106074
4,14323461
4.25,1365997
4.5,1581064
4.75,778347
5,1246147
5.25,716842
5.5,178501
5.75,809577
6,705701
6.25,412758
6.5,314017
6.75,133826
7,260313
7.25,173373
7.5,255910
7.75,2705577
8,567737
8.25,270569
8.5,123723
8.75,154164
9,665892
9.25,174595
9.5,211186
9.75,412382
10,1268956
10.25,456786
10.5,185923
10.75,72842
11,49945
11.25,130171
11.5,72658
11.75,152441
12,278854
12.25,102779
12.5,2040641
12.75,1753042
13,187140
13.25,558413
13.5,103761
13.75,380192
14,93757
14.25,137357
14.5,108631
14.75,173625
15,381205
15.25,191711
15.5,1794904
15.75,415984
16,450827
16.25,158713
16.5,355792
16.75,239644
17,272030
17.25,125466
17.5,120483
17.75,155848
18,257116
18.25,228821
18.5,148514
18.75,1185751
19,360545
19.25,73397
19.5,96225
19.75,191098
20,162686
20.25,165018
20.5,107609
20.75,726438
21,215928
21.25,294593
21.5,350270
21.75,161849
22,97290
22.25,701405
22.5,185747
22.75,853309
23,387194
23.25,452809
23.5,255193
23.75,207832
24,378986
24.25,280054
24.5,535333
24.75,207138
25,139840
25.25,232080
25.5,458986
25.75,364245
26,324504
26.25,230250
26.5,266463
26.75,220925
27,229615
27.25,186757
27.5,181418
27.75,172562
28,112563
28.25,245941
28.5,236193
28.75,218384
29,5045552
29.25,1700208
29.5,667478
29.75,2068902
30,393731
30.25,458445
30.5,413425
30.75,623896
31,1064954
31.25,255141
31.5,597672
31.75,643539
32,138174
32.25,1302419
32.5,343699
32.75,547467
33,815062
33.25,1125087
33.5,553634
33.75,588816
34,191924
34.25,390346
34.5,237866
34.75,218852
35,134016
35.25,143110
35.5,166894
35.75,67200
36,89635
36.25,438980
36.5,616523
36.75,170355
37,137267
37.25,87313
37.5,80987
37.75,94580
38,79865
38.25,165376
38.5,125067
38.75,130908
39,201103
39.25,474337
39.5,143037
39.75,137071
40,215015
40.25,188459
40.5,162916
40.75,127936
41,8236166
41.25,1028306
41.5,657507
41.75,213644
42,773432
42.25,188856
42.5,528231
42.75,859486
43,560123
43.25,1504151
43.5,329310
43.75,174041
44,332738
44.25,542518
44.5,260747
44.75,768990
45,133495
45.25,177195
45.5,435492
45.75,171739
46,112108
46.25,132234
46.5,56154
46.75,241828
47,57404
47.25,159565
47.5,122755
47.75,122701
48,172628
48.25,1161163
48.5,308944
48.75,131663
49,140393
49.25,313027
49.5,190314
49.75,113028
50,73896
50.25,212825
50.5,133389
50.75,88586
51,66505
51.25,1924323
51.5,316513
51.75,153240
52,424019
52.25,142807
52.5,295962
52.75,58310
53,141923
53.25,123798
53.5,235949
53.75,75987
54,2011309
54.25,291585
54.5,192156
54.75,349903
55,197369
55.25,83386
55.5,122446
55.75,138071
56,198891
56.25,130990
56.5,87617
56.75,83263
57,139627
57.25,241372
57.5,724089
57.75,713722
58,147648
58.25,202068
58.5,311182
58.75,334315
59,75181
59.25,134684
59.5,141716
59.75,114218
60,222482
60.25,1252010
60.5,481102
60.75,319450
61,320193
61.25,449165
61.5,110648
61.75,237720
62,325330
62.25,1192615
62.5,225860
62.75,222189
63,653716
63.25,38804
63.5,50279
63.75,103367
64,71702
64.25,70134
64.5,46873
64.75,80220
65,801077
65.25,93952
65.5,29053
65.75,67324
66,85131
66.25,51264
66.5,35939
66.75,67624
67,30352
67.25,30765
67.5,124609
67.75,79969
68,34845
68.25,1583542
68.5,144589
68.75,868426
69,74909
69.25,30830
69.5,59163
69.75,40117
70,198026
70.25,56072
70.5,72515
70.75,203614
71,105726
71.25,968359
71.5,518714
71.75,335980
72,133615
72.25,272902
